Rank,Article Title,Author Full Names,Source Title,Publication Year,Abstract,DOI Link,ENGINEERING.PRODUCT/UI.UX/SERVICE,Inclusion (Y/N/Q/R) for 2nd screening,Note,
617,Research on Artificial Intelligence Technology in Electrical Automation Control,"Luo, Qin; Liu, Dongkun; Song, Shize; Yang, Weikai; Qiao, Zhiming",2020 ASIA CONFERENCE ON GEOLOGICAL RESEARCH AND ENVIRONMENTAL TECHNOLOGY,2021,"During the development of electrical automation control, artificial intelligence technology has become an important development trend. The stability and practical advantages of control based on artificial intelligence technology can effectively improve the level of electrical automation control. Such as remote control, intelligent monitoring, troubleshooting, product design, etc. only need to explore the application of artificial intelligence technology in electrical automation control.",http://dx.doi.org/10.1088/1755-1315/632/4/042085,ENGINEERING,N,"Eletrical control automation, no design.",
619,A Systematic Procedure for Utilization of Product Usage Information in Product Development,"Deng, Quan; Thoben, Klaus-Dieter",INFORMATION,2022,"Product design is crucial for product success. Many approaches can improve product design quality, such as concurrent engineering and design for X. This study focuses on applying product usage information (PUI) during product development. As emerging technologies become widespread, an enormous amount of product-related information is available in the middle of a product's life, such as customer reviews, condition monitoring, and maintenance data. In recent years, the literature describes the application of data analytics technologies such as machine learning to promote the integration of PUI during product development. However, as of today, PUI is not efficiently exploited in product development. One of the critical issues to achieve this is identifying and integrating task-relevant PUI fit for purposes of different product development tasks. Nevertheless, preparing task-relevant PUI that fits different product development tasks is often ignored. This study addresses this research gap in preparing task-relevant PUI and rectifies the related shortcomings and challenges. By considering the context in which PUI is utilized, this paper presents a systematic procedure to help identify and specify developers' information needs and propose relevant PUI fitting the actual information needs of their current product development task. We capitalize on an application scenario to demonstrate the applicability of the proposed approach.",http://dx.doi.org/10.3390/info13060267,ENGINEERING,Y,"Concept generation aid, not exact applicationm instead is more of a process/framework discussion",
624,Attribute Embedding: Learning Hierarchical Representations of Product Attributes from Consumer Reviews,"Wang, Xin (Shane); He, Jiaxiu; Curry, David J.; Ryoo, Jun Hyun (Joseph)",JOURNAL OF MARKETING,2022,"Sales, product design, and engineering teams benefit immensely from better understanding customer perspectives. How do customers combine a product's technical specifications (i.e., engineered attributes) to form abstract product benefits (i.e., meta-attributes)? To address this question, the authors use machine learning and natural language processing to develop a methodological framework that extracts a hierarchy of product attributes based on contextual information of how attributes are expressed in consumer reviews. The attribute hierarchy reveals linkages between engineered attributes and meta-attributes within a product category, enabling flexible sentiment analysis that can identify how consumers receive meta-attributes, and which engineered attributes are main drivers. The framework can guide managers to monitor only portions of review content that are relevant to specific attributes of interest. Moreover, managers can compare products within and between brands, where different names and attribute combinations are often associated with similar benefits. The authors apply the framework to the tablet computer category to generate dashboards and perceptual maps and provide validations of the attribute hierarchy using both primary and secondary data. Resultant insights allow the exploration of substantive questions, such as how Apple improved successive generations of iPads and why Hewlett-Packard and Toshiba discontinued their tablet product lines.",http://dx.doi.org/10.1177/00222429211047822,ENGINEERING,Y,product attribute embedding,
627,Machine learning accelerated MMC-based topology optimization for sound quality enhancement of serialized acoustic structures,"Xu, Lei; Zhang, Weisheng; Yao, Wen; Youn, Sung-Kie; Guo, Xu",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,2024,"A key requirement for product design is the ability to capture the physical features of structures quickly and efficiently. One way to achieve this purpose is to use machine learning to support topology optimization. However, due to the diversity of application requirements in product updates, the machine learning-based optimization model needs to be frequently rebuilt by collecting large amounts of data. In this work, Moving Morphable Component approach is combined with Deep Neural Network to achieve the quick topology optimization design of acoustic devices. A deep transfer learning approach to the predictive model is also developed for the model to be adapted to different design conditions. Thus, using the proposed approach, not only the originally designed acoustic structure can be quickly optimized, but also the serialized structures evolved from the source model can be easily obtained. Numerical examples illustrate the effectiveness and advantages of the proposed method.",http://dx.doi.org/10.1007/s00158-024-03800-3,ENGINEERING,N,topology optimization for acoustic field,
628,ARCHIE: AN AUTOMATED DATA COLLECTION METHOD FOR PHYSICAL PROTOTYPING EFFORTS IN AUTHENTIC DESIGN SITUATIONS,"Nelson, Jacob; Berlin, Andrew; Menold, Jessica","PROCEEDINGS OF THE ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, 2019, VOL 7",2020,"Effective data collection can be one of the most challenging aspects of engineering design research. Design projects often occur over periods of weeks, months, or years, making continuous data collection a time-intensive task. Further, interrupting the design process to collect data can be intrusive and disrupt the flow of design. ARCHIE is a system designed to take photos of designers' physical prototypes, link them to designer perceptions of the design, and maintain a record of design evolution over time. This device will allow researchers to collect data on physical prototyping efforts in design environments without researcher intervention, reducing the burden of data collection in authentic design settings. The device provides designers with an easier way to document physical prototyping efforts and record the evolution of their design with photos and descriptions and promises to allow for researchers to leverage machine learning to automatically analyze aspects of the prototype such as geometric complexity or material choice by facilitating the creation of databases of design artifacts. This work describes the rationale, method, implementation, and testing of ARCHIE using student design projects.",https://doi.org/10.1115/DETC2019-97444,ENGINEERING,Y,Data collection for design ideation stage,
633,User requirement modeling and evolutionary analysis based on review data: Supporting the design upgrade of product attributes,"Zhang, Yuanrong; Guo, Wei; Chang, Zhixing; Ma, Jian; Fu, Zhonglin; Wang, Lei; Shao, Hongyu",ADVANCED ENGINEERING INFORMATICS,2024,"In recent years, an increasing number of studies have focused on user requirement modeling based on online review texts. However, traditional methods often overlook the integration of user requirement models with product design frameworks, failing to effectively transform dynamically changing user requirements into a basis for product attribute upgrades. This paper proposes a user requirement modeling and evolutionary analysis method based on review data, supporting the design upgrade of product attributes. This approach differs from traditional user requirement modeling and analysis methods in two main aspects: (1) integrating the designer's product design framework into the classification and modeling of user requirements; (2) analyzing the dynamic changes in user requirements during product upgrades and formulating new product attribute upgrade strategies. Initially, the study extracts three categories of product attributes that designers are concerned about from the review data: function (F), structure (S), and parameters (P), and establishes a correlation model between these product attributes. Subsequently, using natural language processing technology to calculate sentiment scores for product attributes and employing the Multi-Layer Perceptron (MLP) model to analyze the impact of product attribute sentiment on user satisfaction, the study constructs the FSP-Kano model, achieving classification and modeling of user requirements for these three categories of product attributes. Finally, based on the dynamic changes in user requirements within the FSP-Kano model, strategies for upgrading next-generation products are formulated. Additionally, the study illustrates the proposed method with the example of BYD's Qin series of new energy vehicles. Our research demonstrates that the proposed method can accurately and comprehensively extract user requirements and develop successful product attribute improvement strategies for the next generation of products.",http://dx.doi.org/10.1016/j.aei.2024.102861,ENGINEERING,Y,user requirement modeling,
654,Sentiment analysis of comments of wooden furniture based on naive Bayesian model,"Ji, Jie; Wang, Haiyan; Song, Shasha; Pi, Jingwen",PROGRESS IN ARTIFICIAL INTELLIGENCE,2021,"In this paper, the sentiment analysis method based on machine learning is used to analyse the commodity reviews of wooden furniture which are sold well on MeiLeLe Furniture Website, and then extract the potential and valuable information generated in the interactive process by users and businesses, such as user attitudes and emotional tendencies, user preferences for the commodity attributes of wooden furniture to achieve the goal of improving the industrial design process of wooden furniture manufacturers, providing effective suggestions for merchants, improving the quality of wooden furniture commodities, and then improving the export level of our country. In order to obtain the information, the Octopus Collector is used to crawl the commentary information of wooden furniture commodities. The original data are needed to be cleaned and labelled manually before training the emotional tendency. In this paper, naive Bayesian algorithm is used to calculate the prior probability by using the training data with manual labelling, and a text classifier is constructed to classify the emotional tendency of the experimental data. Afterwards, it visualizes the positive emotional tendency of the commentary data to understand the commodity attributes that consumers are more concerned about when buying wooden furniture online. The experimental results show that consumers pay more attention to the quality factors, price factors and appearance factors of wooden furniture. Effective suggestions can be put forward to the merchants in these aspects.",http://dx.doi.org/10.1007/s13748-020-00221-3,ENGINEERING,Y,evaluating design feedback,
656,Material handling machine activity recognition by context ensemble with gated recurrent units,"Chen, Kunru; Rognvaldsson, Thorsteinn; Nowaczyk, Slawomir; Pashami, Sepideh; Klang, Jonas; Sternelov, Gustav",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2023,"Research on machine activity recognition (MAR) is drawing more attention because MAR can provide productivity monitoring for efficiency optimization, better maintenance scheduling, product design improvement, and potential material savings. A particular challenge of MAR for human-operated machines is the overlap when transiting from one activity to another: during transitions, operators often perform two activities simultaneously, e.g., lifting the fork already while approaching a rack, so the exact time when one activity ends and another begins is uncertain. Machine learning models are often uncertain during such activity transitions, and we propose a novel ensemble-based method adapted to fuzzy transitions in a forklift MAR problem. Unlike traditional ensembles, where models in the ensemble are trained on different subsets of data, or with costs that force them to be diverse in their responses, our approach is to train a single model that predicts several activity labels, each under a different context. These individual predictions are not made by independent networks but are made using a structure that allows for sharing important features, i.e., a context ensemble. The results show that the gated recurrent unit network can provide medium or strong confident context ensembles for 95% of the cases in the test set, and the final forklift MAR result achieves accuracies of 97% for driving and 90% for load-handling activities. This study is the first to highlight the overlapping activity issue in MAR problems and to demonstrate that the recognition results can be significantly improved by designing a machine learning framework that addresses this issue.",http://dx.doi.org/10.1016/j.engappai.2023.106992,ENGINEERING,N,activity recognition,
661,TOPOLOGY DESIGN WITH CONDITIONAL GENERATIVE ADVERSARIAL NETWORKS,"Sharpe, Conner; Seepersad, Carolyn Conner","PROCEEDINGS OF THE ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, 2019, VOL 2A",2020,"Deep convolutional neural networks have gained significant traction as effective approaches for developing detailed but compact representations of complex structured data. Generative networks in particular have become popular for their ability to mimic data distributions and allow further exploration of them. This attribute can be utilized in engineering design domains, in which the data structures of finite element meshes for analyzing potential designs are well suited to the deep convolutional network approaches that are being developed at a rapid pace in the field of image processing. This paper explores the use of conditional generative adversarial networks (cGANs) as a means of generating a compact latent representation of structures resulting from classical topology optimization techniques. The constraints and contextual factors of a design problem, such as mass fraction, material type, and load location, can then be specified as input conditions to generate potential topologies in a directed fashion. The trained network can be used to aid concept generation, such that engineers can explore a variety of designs relevant to the problem at hand with ease. The latent variables of the generator can also be used as design parameters, and the low dimensionality enables tractable computational design without analytical sensitivities. This paper demonstrates these capabilities and discusses avenues for further developments that would enable the engineering design community to further leverage generative machine learning techniques to their full potential.",https://doi.org/10.1115/DETC2019-97833,ENGINEERING,N,"Topology design, domain specific",
664,Research on Product Conceptual Design Scheme Configurations from a Designer-User Conflict Perspective,"Shao, Hongyu; Pan, Sizhe; Song, Yufei; Li, Quanfu",APPLIED SCIENCES-BASEL,2024,"In the context of rapid product iteration, design conflicts arise from discrepancies in designers' understanding of user needs, influenced by subjective preferences, behavioural stances, and other factors. This paper proposes a product conceptual design approach based on the design conflict perspective. First, user comments and design documents are collected. Natural language processing (NLP) methods, including cleaning, filtering, lexical segmentation, feature clustering, and sentiment analysis, are employed to identify design themes. The intuitionistic fuzzy sets (IFSs) and term frequency-inverse document frequency (TF-IDF) algorithms are then utilized to obtain evaluation matrices for the products from both users and designers. Subsequently, design conflicts between users and designers are calculated, and an optimal configuration for product conceptual design is determined through regression analysis and planning methods. Finally, the proposed method is validated using a mobile phone as a product example, and suggestions for product improvement are presented. The results indicate that considering design conflicts as a factor in product design and synthesizing designer and user product concepts enhance the accuracy and reliability of product conceptual design generation. The findings of this study offer new insights into the conceptual design configuration for product iteration.",http://dx.doi.org/10.3390/app14072968,ENGINEERING,Y,Concept generation aid,
668,An Improved Machine Learning Model for Pure Component Property Estimation,"Cao, Xinyu; Gong, Ming; Tula, Anjan; Chen, Xi; Gani, Rafiqul; Venkatasubramanian, Venkat",ENGINEERING,2024,"Information on the physicochemical properties of chemical species is an important prerequisite when performing tasks such as process design and product design. However, the lack of extensive data and high experimental costs hinder the development of prediction techniques for these properties. Moreover, accuracy and predictive capabilities still limit the scope and applicability of most property estimation methods. This paper proposes a new Gaussian process-based modeling framework that aims to manage a discrete and high-dimensional input space related to molecular structure representation with the group-contribution approach. A warping function is used to map discrete input into a continuous domain in order to adjust the correlation between different compounds. Prior selection techniques, including prior elicitation and prior predictive checking, are also applied during the building procedure to provide the model with more information from previous research findings. The framework is assessed using datasets of varying sizes for 20 pure component properties. For 18 out of the 20 pure component properties, the new models are found to give improved accuracy and predictive power in comparison with other published models, with and without machine learning.",http://dx.doi.org/10.1016/j.eng.2023.08.024,ENGINEERING,N,physicochemical prediction,
669,Bridging the Semantic Gap Between Customer Needs and Design Specifications Using User-Generated Content,"Wang, Yue; Luo, Linkai; Liu, Hai",IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,2022,"Although product design has been considered as a collaborative activity, progress in developing methods to facilitate the design process has been hampered by difficulties in building common bases among various stakeholders. Customers may only have general needs of the product in layman's terms instead of the sufficient domain knowledge to identify the product specifications. Thus, there is a great need in design research to translate the expressed needs in natural language to design specifications and bridge this semantic gap. By leveraging the massive amount of online user-generated content, we develop a deep learning-based method to automatically identify product design parameters or product specifications. Specifically, we crawl product review data and the corresponding product metadata from e-commerce websites. A convolutional neural network based solution is provided to map product reviews to product specifications. Experimental results show that the method can be well adapted to the mapping from customer needs in the natural language to product specifications. The method facilitates product design by addressing the semantic gap between general customer needs and detailed product specifications. In addition, the automated mapping greatly improves the efficiency and reduces labor in the design process.",http://dx.doi.org/10.1109/TEM.2020.3021698,ENGINEERING,Y,customer need and function mapping,
673,"Constrained multi-objective optimization problems: Methodologies, algorithms and applications","Hao, Yuanyuan; Zhao, Chunliang; Zhang, Yiqin; Cao, Yuanze; Li, Zhong",KNOWLEDGE-BASED SYSTEMS,2024,"Constrained multi -objective optimization problems (CMOPs) are widespread in practical applications such as engineering design, resource allocation, and scheduling optimization. It is high challenging for CMOPs to balance the convergence and diversity due to conflicting objectives and complex constraints. Researchers have developed a variety of constrained multi -objective optimization algorithms (CMOAs) to find a set of optimal solutions, including evolutionary algorithms and machine learning-based methods. These algorithms exhibit distinct advantages in solving different categories of CMOPs. Recently, constrained multi -objective evolutionary algorithms (CMOEAs) have emerged as a popular approach, with several literature reviews available. However, there is a lack of comprehensive-view survey on the methods of CMOAs, limiting researchers to track the cutting-edge investigations in this research direction. Therefore, this paper reviews the latest algorithms for handling CMOPs. A new classification method is proposed to divide literature, containing classical mathematical methods, evolutionary algorithms and machine learning methods. Subsequently, it reviews the modeling and algorithms of CMOPs in the context of practical applications. Lastly, the paper gives potential research directions with respect to CMOPs. This paper is able to provide guidance and inspiration for scholars studying CMOPs.",http://dx.doi.org/10.1016/j.knosys.2024.111998,ENGINEERING,R,"Multi optimization problem, used for robot design.",
680,Differentiating online products using customer perceptions of sustainability,"El Dehaibi, Nasreddine; MacDonald, Erin F.",DESIGN SCIENCE,2022,"Customers make quick judgments when shopping online based on how they perceive product design features. These features can be visual such as material or can be descriptive like a 'nice gift'. Relying on feature perceptions can save customers time but can also mislead them to make uninformed purchase decisions, for example, related to sustainability. In a previous study, we developed a method to extract product design features perceived as sustainable from Amazon reviews, identifying that customer perceptions of product sustainability may differ from engineered sustainability. We previously crowdsourced annotations of French press reviews and used a natural language processing algorithm to extract the features. While these features may not contribute to engineered sustainability, customers identify the features as sustainable enabling them to make informed purchase decisions. In this study, we validate how our previously developed method can be generalised by testing it with electric scooters and baby glass bottles. Features perceived as sustainable for both products are extracted and second, participants are tested on interpreting the features using a novel collage approach. Participants placed products on a set of two axes and selected features from a list. Our results confirm that the proposed method is effective for identifying features perceived as sustainable, and that it can generalise for different products with limitations. Positively biased Amazon reviews can limit the natural language processing performance. We recommend that designers use our method when designing products to capture feature perceptions and help inform customer-oriented design decisions.",http://dx.doi.org/10.1017/dsj.2022.14,ENGINEERING,Y,product image design? AI-supported product identity,
