Rank,Article Title,Author Full Names,Source Title,Publication Year,Abstract,DOI Link,ENGINEERING.PRODUCT/UI.UX/SERVICE,Inclusion (Y/N/Q/R) for 2nd screening,Note,Unnamed: 10
419,ITIU: Intention Understanding via Interactive Table in Large Language Models,"Liao, Zenghua; Liao, Jinzhi; Zhao, Xiang","PROCEEDINGS OF THE 33RD ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT, CIKM 2024",2024,"Large language models (LLMs) have shown impressive success in various applications. However, they encounter issues in accurately understanding user intentions, thereby impeding the successful accomplishment of tasks. The pioneering study tackles intention understanding through iteratively interacting with users to enhance response quality; however, it fails to identify the notorious challenges associated with the task, where efficiency and accuracy are paramount for ensuring optimal user experience. To address these challenges, we introduce a new interactive table based intention understanding (ITIU) framework, which refers to and implements non-linear thinking in psychology such that details of intention are parallelly generated. Specifically, in the table interacting design phase, ITIU first brainstorms a more concrete intention table relevant to user instructions and subsequently incorporates a rule-based supervision mechanism to enhance the accuracy of its content. In the specialized model training phase, we obtain the procedural records generated by ITIU to develop a specialized upstream interactive intention understanding model. The specialized model replaces internal steps within the original interaction design for further efficiency improvement. Comprehensive experimental results demonstrate that ITIU significantly outperforms existing intention understanding methods, particularly in terms of interaction efficiency and intention understanding accuracy. Furthermore, whether integrated into the open-source LLaMA or powerful LLMs like GPT-4 and Claude-3, ITIU shows significant performance improvements. All the data and codes are released(1).",http://dx.doi.org/10.1145/3627673.3679688,UI.UX,Y,LLM for HCI/UX,
425,CUI@CHI: Mapping Grand Challenges for the Conversational User Interface Community,"Candello, Heloisa; Munteanu, Cosmin; Clark, Leigh; Sin, Jaisie; Ines Torres, Maria; Porcheron, Martin; Myers, Chelsea M.; Cowan, Benjamin; Fischer, Joel; Schloegl, Stephan; Murad, Christine; Reeves, Stuart",CHI'20: EXTENDED ABSTRACTS OF THE 2020 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,2020,"The aim of this workshop is twofold. First, it aims to grow critical mass in Conversational User Interfaces (CUI) research by mapping the grand challenges in designing and researching these interactions. Second, this workshop is intended to further build the CUI community with these challenges in mind, whilst also growing CUI research presence at CHI. In particular, the workshop will survey and map topics such as: interaction design for text and voice-based CUI; the interplay between engineering efforts such as in Natural language Processing (NLP) and the design of CUI; practical CUI applications (e.g. human-robot interaction, public spaces, hands-free and wearables); and social, contextual, and cultural aspects of CUI design (e.g. ethics, privacy, trust, information exploration, persuasion, well-being, or decision-making, marginalized users). By drawing from the diverse interdisciplinary expertise that defines CHI, we are proposing this workshop as a platform on which to build a community that is better equipped to tackle an emerging field that is rapidly-evolving, yet is under-studied - especially as the commercial advances seem to outpace the scholarly research in this space.",http://dx.doi.org/10.1145/3334480.3375152,UI.UX,Y,NLP for HCI/UX,
452,Generating educational mobile applications using UIDPs identified by artificial intelligence techniques,"Nely Sanchez-Morales, Laura; Alor-Hernandez, Giner; Yarel Rosales-Morales, Viviana; Augusto Cortes-Camarillo, Cesar; Luis Sanchez-Cervantes, Jose",COMPUTER STANDARDS & INTERFACES,2020,"Commercial mobile devices vary in brand, size, and functionalities, but they all allow people to interact with educational applications. In software engineering, application development techniques, approaches, methodologies, and processes (e.g., BBD, FDD, RAD, DDD) are often time consuming, costly, or aim at expert developers - which implies that users outside the software development field (e.g., teachers) need great practice to become experienced application developers. This work proposes an artificial-intelligence-based process for generating educational mobile apps from freehand-generated images. The images' design is based on User Interface Design Pattern (UIDP) representations. As a proof of concept, we introduce EduMatic, an application development tool. To test our process, we assessed Wiki-Comp, an application built with EduMatic, along with three other external educational applications: Khan Academy, Wiki encyclopedia, and Kiwix. According to the evaluation results, Wiki-Comp outstands in functionality, usability, and performance aspects.",http://dx.doi.org/10.1016/j.csi.2019.103407,UI.UX,Y,image recognition for UI/UX,
459,A training and assessment system for human-computer interaction combining fNIRS and eye-tracking data,"Qu, Jing; Bu, Lingguo; Zhao, Lei; Wang, Yonghui",ADVANCED ENGINEERING INFORMATICS,2024,"In the domain of engineering interactive product design, the optimization of Human-Computer Interaction (HCI) is central to enhancing user experience and system efficiency. Notably, the application of cognitive load theory holds significant prominence in this field. Efficient evaluation of cognitive load not only facilitates the optimization of resource management and task allocation, but is also the key to creating a fluent interactive experience. With the advancement of Artificial Intelligence (AI) and physiological measurement technologies, new methodologies have emerged to measure and understand cognitive load. This research introduces a system for HCI training and assessment. The system, through the development of digital memory paradigms, induces and verifies varying levels of cognitive load with precision, thereby providing data-driven insights for HCI design. Specifically, this study constructs an AI-assisted multimodal cognitive load assessment framework, integrating physiological data collected from Functional Near-Infrared Spectroscopy (fNIRS) and eye-tracking technologies. By extracting and analyzing 29 physiological features, including channel features, graph-theoretic features, and features pertaining to eyelid and iris movements, we propose an innovative multimodal recognition approach to classify cognitive load across individuals. The experimental results not only verified the validity of the method, but also revealed changes in physiological patterns at different levels of cognitive load. In particular, the significant potential of the fNIRS feature in band I. This discovery suggests that we can monitor and predict cognitive load with greater precision through physiological signals, hence optimizing the design of HCI systems to alleviate user strain, prevent information overload, and enhance the naturalness and intuitiveness of interaction.",http://dx.doi.org/10.1016/j.aei.2024.102765,UI.UX,Y,multi-modal learning for HCI/UX,
483,Beyond Manual Modeling: Automating GUI Model Generation Using Design Documents,"Cao, Shaoheng; Chen, Renyi; Pan, Minxue; Yang, Wenhua; Li, Xuandong","PROCEEDINGS OF 2024 39TH ACM/IEEE INTERNATIONAL CONFERENCE ON AUTOMATED SOFTWARE ENGINEERING, ASE 2024",2024,"GUI models encapsulate the desired visual appearance and interactive behaviors of applications, facilitating various downstream tasks like model-based testing (MBT). Manually constructing high-quality GUI models is not only labor-intensive and costly but also prone to errors, particularly as applications evolve and require frequent model updates. Existing automated approaches for GUI model generation heavily rely on reverse engineering, where the models are abstractions of the code. As a result, they are not suitable for MBT to test functional issues because they are consistent with the code. Meanwhile, valuable development artifacts such as UI/UX design documents, which reflect design intentions, are often overlooked. In this paper, a novel approach named DemGen is proposed to seek a unique pathway for GUI model generation. Leveraging design documents, DemGen employs computer vision pre-trained models in conjunction with a rule-based correction mechanism to identify GUI elements and their intended behaviors as defined in those documents. Subsequently, the identified content is transformed into a formal GUI model adhering to the IFML modeling language. Our evaluation, conducted in collaboration with an industry partner on commercial applications, demonstrates the effectiveness and efficiency of DemGen in GUI element recognition and GUI model generation. Moreover, we conducted a comparative analysis of manual, automated, and hybrid modeling techniques, assessing the usefulness of generated models on MBT tasks.",http://dx.doi.org/10.1145/3691620.3695032,UI.UX,Y,computer vision for UI/UX,
486,Exploring the impact of integrated design on employee learning engagement in the ubiquitous learning context: A deep learning-based hybrid multistage approach,"Shang, Dawei; Zhang, Caiyi; Jin, Li",COMPUTERS IN HUMAN BEHAVIOR,2025,"Learning engagement has received the attention of academics and practitioners; however, studies on employee learning engagement are limited. Based on an integrated hardware-software-value-design perspective and domain-specific innovativeness theory, we developed and tested a theoretical framework using a novel and hybrid multistage approach combining a partial least squares (PLS) structural equation model (SEM) and artificial neural networks from deep learning. We used multigroup analysis (PLS-MGA-ANN), which examines key integrated design elements and domain-specific innovativeness drivers of employee learning engagement in ubiquitous learning context. According to a sample of learners' responses, the linear PLS-SEM results demonstrated that (a) integrating design elements, including perceived compatibility, familiarity, value, and user interface design, had a direct impact on domain-specific innovativeness; (b) domain-specific innovativeness had a direct impact on employee learning engagement and played a mediating role in the relationship between integrating design elements and employee learning engagement; and (c) copresence moderated the relationships between domain-specific innovativeness and employee learning engagement. Furthermore, through the evaluation of nonlinear models of the neural network, perceived compatibility and value revealed nonlinear average importance. Practical and theoretical implications are discussed.",http://dx.doi.org/10.1016/j.chb.2024.108468,UI.UX,Y,ANN for UX,
502,(Re-)connecting with Nature in Urban Life: Engaging with Wildlife via AI-powered Wearables,"Li, Zhuying; Cheng, Si; Wang, Wei; Zhang, Min-Ling","ADJUNCT PUBLICATION OF THE 24TH ACM INTERNATIONAL CONFERENCE ON HUMAN-COMPUTER INTERACTION WITH MOBILE DEVICES AND SERVICES, MOBILEHCI 2022",2022,"Connecting with nature is essential for our health and well-being. However, we are getting less connected with nature today because of urbanization. Considering urban is where human and other species co-habit, we believe there is an opportunity to design interactive technologies to engage urban residents with those wild species to deepen the residents' connection with nature in their daily life. In this paper, we present GoChirp, an always-available AI-powered wearable device that connects users with nature by engaging them with surrounding wild birds. GoChirp embeds machine learning techniques to detect surrounding birds by recognizing birds' chirping sound. The device brings the birds to users' attention via haptic feedback that mimics the bird flapping. GoChirp comes with a mobile APP that supports users to take photos and identifying the species of the bird showing in the photo. With GoChirp, we hope to further the understanding of interaction design for connecting people with nature and inspire designers to consider the role of always-available technology in supporting human-nature interaction.",http://dx.doi.org/10.1145/3528575.3551435,UI.UX,Y,"CNN, RNN for audio for UX",
549,User Feedback Design in AI-Driven Mood Tracker Mobile Apps,"Chu, Hsi Yuan; Shen, Yvette","HUMAN-COMPUTER INTERACTION: USER EXPERIENCE AND BEHAVIOR, PT III",2022,"AI-driven civilian healthcare systems can offer personalized mental health care to more people. When users provide feedback to the system, they can influence the results of the AI models and improve their user experiences over time. In this study, we investigate feedback designs in mood tracker apps and identify feedback implementation opportunities through the lens of user experience and user interface design. We reviewed the feedback designs on popular mood tracker apps and discovered that the feedback mechanisms were not regularly implemented in all stages of tracking moods. To explore feedback design opportunities in line with user actions, usermindsets, and user emotions, a journey map was developed to visualize the interaction with a mood tracker app from the user perspective. Based on the journey map, a mood tracker app prototype was created for the purpose of user testing. The preliminary user testing results validated some feedback design recommendations that highlight the human-centered design approach of crafting user experiences that leverage AI.",http://dx.doi.org/10.1007/978-3-031-05412-9_24,UI.UX,Y,Reinforcement leanring for UX,
598,Boundary-Aware Supervoxel-Level Iteratively Refined Interactive 3D Image Segmentation With Multi-Agent Reinforcement Learning,"Ma, Chaofan; Xu, Qisen; Wang, Xiangfeng; Jin, Bo; Zhang, Xiaoyun; Wang, Yanfeng; Zhang, Ya",IEEE TRANSACTIONS ON MEDICAL IMAGING,2021,"Interactive segmentation has recently been explored to effectively and efficiently harvest high-quality segmentation masks by iteratively incorporating user hints. While iterative in nature, most existing interactive segmentation methods tend to ignore the dynamics of successive interactions and take each interaction independently. We here propose to model iterative interactive image segmentation with a Markov decision process (MDP) and solve it with reinforcement learning (RL) where each voxel is treated as an agent. Considering the large exploration space for voxel-wise prediction and the dependence among neighboring voxels for the segmentation tasks, multi-agent reinforcement learning is adopted, where the voxel-level policy is shared among agents. Considering that boundary voxels are more important for segmentation, we further introduce a boundary-aware reward, which consists of a global reward in the form of relative cross-entropy gain, to update the policy in a constrained direction, and a boundary reward in the form of relative weight, to emphasize the correctness of boundary predictions. To combine the advantages of different types of interactions, i. e., simple and efficient for point-clicking, and stable and robust for scribbles, we propose a supervoxel-clicking based interaction design. Experimental results on four benchmark datasets have shown that the proposed method significantly outperforms the state-of-the-arts, with the advantage of fewer interactions, higher accuracy, and enhanced robustness.",http://dx.doi.org/10.1109/TMI.2020.3048477,UI.UX,Y,markove decision process (MDP) for interactive design,
122,AI driven human-computer interaction design framework of virtual environment based on comprehensive semantic data analysis with feature extraction,"Li, Kunyu; Li, Xunxiang",INTERNATIONAL JOURNAL OF SPEECH TECHNOLOGY,2022,"The most basic and important attributes of virtual reality (VR) are immersion, interactivity and creativity. For this young media, the continuous development and change and the exploration of content are the current situation of VR art. The arrival of 5G communication technology provides an important foundation for the popularization of VR technology. The rapid development of technology and hardware rewrites and expands the possibility of VR art design expression at any time. As the latest technology of natural human-computer interaction, somatosensory interaction technology enables users to interact with computers directly through body movements, gestures, etc., and control the environment at will. Its core value lies in that it not only enables the computer to have more accurate and effective eyes to observe the world, not only to understand human body language, but also to complete various instructions according to the body language, to achieve real-time interaction with people. Gesture, as a common communication mode with the ability of information expression, has the advantages of intuitionistic, natural and easy to understand. Therefore, the somatosensory interaction technology based on gesture recognition has become an effective means of natural human-computer interaction. With the rapid development of key technologies of VR, VR has been widely used in games, fitness, real estate, education, film and television and other industries. In recent years, VR systems are everywhere, including virtual home decoration system, virtual panoramic VR live broadcasting system, virtual fitness system, etc. The design and implementation of this VR system mainly includes four parts: scene modeling, rendering and rendering, performance and interaction, and network application. Based on this, this paper uses the comprehensive data analysis technology to build the human-computer interaction design model in the virtual environment. The AI and speech information are combined to perform the optimal analysis.",http://dx.doi.org/10.1007/s10772-021-09954-5,UI.UX,Y,dnn for HCI,
126,Conversations in the Cloud: Crafting Harmony in AliCloud Computing Interaction Design,"Huang, Xintong; Chen, Yiqi; Qiu, Dan; Zhou, Xuan; Fang, Yuzhe; Liu, Yiyang; Wu, Zeyu; Zhang, Zhongbo; Rong, Qu; Wang, Tianyu; Wu, Xiaofan; Liu, Mengke; Yang, Yuwei; Wang, Xiang; Li, Chenyu; Wen, Jiazhi; Sun, Shihua; Liu, Wei","DESIGN, USER EXPERIENCE, AND USABILITY, DUXU 2024, PT I",2024,"With the rapid development of cloud services, it has become the core driving force for innovation and business development in the digital era. The emerging technology of cloud computing has transformed cloud services from simple resource providers into comprehensive ecosystems, offering users unprecedented convenience, flexibility, and efficiency. In this context, this project focuses on the application of conversational interaction design in the field of cloud services, aiming to enhance the user interface and provide a more convenient and comfortable user experience (UX). Conversational interaction design, based on human-computer interaction (HCI), aims to deliver a more natural, intuitive, and personalized UX. By integrating artificial intelligence technology with cloud services, an intelligent conversational interface is created, allowing users to interact, manage, and optimize cloud services effortlessly. Through in-depth research and practical implementation, this project explores the diversity of user needs to ensure that conversational interaction design can meet the requirements of different user groups.",http://dx.doi.org/10.1007/978-3-031-61351-7_4,UI.UX,Y,conversational ai for UI/UX,
130,Vehicle Multi-sensory User Interaction Design Research Based on MINDS Methods,"Wu, Qianqian; Zhang, Zhang",ADVANCES IN HUMAN FACTORS AND SYSTEMS INTERACTION,2020,"With the Development of Artificial Intelligence, there are different ways to interact with vehicles besides graphical user interface (GUI). Technology such as speech recognition, gesture recognition, facial expression recognition, and gaze tracking has gradually gained application in vehicle interaction. The advances in autonomous driving technology will also lead to the transformation of vehicle functions from transportation to multi-sensory space. Users can get a comprehensive experience based on sight, hearing, touch, taste and smell in future vehicles. Therefore, an exploration of the future vehicle interaction design combined with vehicle technology is needed. The objective of this paper is to deliver a vehicle multi-sensory user interaction design model based on the MINDS method [1]. This paper starts with the function analysis based on user requirement. On this basis, a connection between user and innovative services can be illustrated which enhances the user experience. Then an interaction sketch offered a detailed view of how users interact with vehicles and how technology impacts interaction. Finally, a new vehicle interaction model can be created by integrating the scenarios, technology, and users.",http://dx.doi.org/10.1007/978-3-030-20040-4_40,UI.UX,Y,"dnn, lstm for interaction design",
131,GANSpiration: Balancing Targeted and Serendipitous Inspiration in User Interface Design with Style-Based Generative Adversarial Network,"Mozaffari, Mohammad Amin; Zhang, Xinyuan; Cheng, Jinghui; Guo, Jin L. C.",PROCEEDINGS OF THE 2022 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI' 22),2022,"Inspiration from design examples plays a crucial role in the creative process of user interface design. However, current tools and techniques that support inspiration usually only focus on example browsing with limited user control or similarity-based example retrieval, leading to undesirable design outcomes such as focus drift and design fxation. To address these issues, we propose the GANSpiration approach that suggests design examples for both targeted and serendipitous inspiration, leveraging a style-based Generative Adversarial Network. A quantitative evaluation revealed that the outputs of GANSpiration-based example suggestion approaches are relevant to the input design, and at the same time include diverse instances. A user study with professional UI/UX practitioners showed that the examples suggested by our approach serve as viable sources of inspiration for overall design concepts and specifc design elements. Overall, our work paves the road of using advanced generative machine learning techniques in supporting the creative design practice.",http://dx.doi.org/10.1145/3491102.3517511,UI.UX,Y,GAN for conceptual design,
