Rank,Article Title,Author Full Names,Source Title,Publication Year,Abstract,DOI Link,ENGINEERING.PRODUCT/UI.UX/SERVICE,Inclusion (Y/N/Q/R) for 2nd screening,Note,Unnamed: 10
696,A smart conflict resolution model using multi-layer knowledge graph for conceptual design,"Huang, Zechuan; Guo, Xin; Liu, Ying; Zhao, Wu; Zhang, Kai",ADVANCED ENGINEERING INFORMATICS,2023,"Reducing the impact of conflicts on requirement-function-structure mapping in the early stage of product design is an important measure to achieve conceptual innovation, which relies on accurate reasoning of multi-domain knowledge. As product requirements become more personalized and diverse, traditional discrete knowledge organization and reasoning methods are difficult to adapt to the challenges of continuity and precision in conceptual solution. Knowledge graphs with complex networks have obvious advantages in association detection, knowledge visualization, and explainable reasoning of implicit knowledge, which offer innovative opportunities for conflict resolution in conceptual design. Therefore, a smart conflict resolution model using a multi-layer Knowledge Graph for Conceptual Design(mKGCD) is proposed in this study. A knowledge expression form of FBS-oriented design patent vocabulary is proposed, which is used for knowledge entity recognition and relation extraction based on natural language processing. A label mapping method based on inventive principles is used for patent classification and a four-layer semantic network for conflict resolution is constructed. Through semantic distance calculation, the designer's requirements for function/behavior/structure are smart deployed to obtain appropriate knowledge. A case study of the conceptual design of a collapsible installation and handling equipment demonstrates the feasibility of the proposed approach. The proposed method can not only meet the functional solution and innovation in the context of different design requirements, but also effectively improve the design efficiency in the iterative design process by means of multiple meanings of one graph.",http://dx.doi.org/10.1016/j.aei.2023.101887,ENGINEERING,Y,Multi-objective optimization for resolving design requirement conflicts,
698,Ecological network evolution analysis in collective intelligence design ecosystem,"Fu, Zhong-Lin; Guo, Wei; Wang, Lei; Ma, Jian; Shi, Li-Wen; Lin, Mao",ADVANCED ENGINEERING INFORMATICS,2023,"With the arrival of the AI era, traditional product design, which relied on professional designers, has transformed into participatory design, which depends on the intellect of the public. Collective intelligence design (CID) is a novel paradigm that depends on pooling and releasing the intelligence of the masses to drive product design. Because the CID's open, shared, and collaborative characteristics are similar to those of natural ecosystems, an analogy can be drawn and the concept of a collective intelligence design ecosystem (CIDE) proposed. The CIDE is a dynamic system that evolves with the iteration of the product design process. Sensing the evolutionary state of CIDE and identifying factors that threaten CIDE instability can provide targeted recommendations for rapid and accurate improvement of CIDE's adaptive capacity. However, the problem has yet to be effectively solved. Therefore, this research provides a comprehensive assessment index system based on an ecological network model that can completely measure the evolutionary condition of CIDE. The method's effectiveness was validated by applying it to the Zhubajie platform, China's largest CID platform. The conclusions provide a new perspective for perceiving the evolutionary state of CIDE.",http://dx.doi.org/10.1016/j.aei.2023.102150,ENGINEERING,Y,Collective intelligent design (CID),
722,Effective design knowledge abstraction from Chinese patents based on a meta-model of the patent design knowledge graph,"Sun, Yindi; Liu, Wei; Cao, Guozhong; Peng, Qingjin; Gu, Jianjie; Fu, Jiaming",COMPUTERS IN INDUSTRY,2022,"Patent document is one of the most important sources of knowledge for engineering design. Design for patentability has become increasingly important for the success of product in the competitive market. However, language differences hinder the effective extraction of design knowledge from patent databases of different countries using existing patent analysis methods. This paper proposes a new approach to build the patent design knowledge graph to extract useful design information from Chinese patent texts by using natural language processing techniques. A meta-model of the patent design knowledge graph is built based on the language characteristics of Chinese. The proposed method is verified using randomly selected patent text for the effective extraction of Chinese patent design knowledge. The feasibility of the proposed method is further tested to support design of a new storage device for the patentability.(c) 2022 Elsevier B.V. All rights reserved.",http://dx.doi.org/10.1016/j.compind.2022.103749,ENGINEERING,Y,extract knowledge for patent text? Data analytics,
739,Analysis of Cleaner Production Performance in Manufacturing Companies Employing Artificial Neural Networks,"Penchel, Rafael Abrantes; Aldaya, Ivan; Marim, Lucas; dos Santos, Mirian Paula; Cardozo-Filho, Lucio; Jegatheesan, Veeriah; de Oliveira, Jose Augusto",APPLIED SCIENCES-BASEL,2023,"Cleaner production has emerged as a comprehensive paradigm, aiming to reduce, or even avoid, the environmental impact in the production stage, in a broad variety of fields. However, the great number of interacting factors makes the assessment of efficiency and the identification of critical factors pose significant challenges to researchers and companies. Artificial intelligence and, particularly, artificial neural networks have proven their suitability to lead with diverse multi-variable problems, but have not yet been applied to model production systems. In this work, we employ dimensionality reduction in combination with a fully connected feed-forward multi-layer perceptron to model the relation between the input (cleaner production techniques) and output variables (cleaner production performance) and, subsequently, quantify the sensibility of the different output variables on the input variables. In particular, we consider Product Design, Production Processes, and Reuse as the input latent variables, whereas the Environmental Performance of Product, Environmental Performance of Processes, and Economic Performance comprises the output variables of our model. The results, employing data collected from a direct survey of 205 Brazilian companies, reveal that the best configuration for the ANN uses eight neurons in the hidden layer. Regarding sensitivity, the obtained results show that improving practices with poor marks leads to a higher enhancement of output figures. In particular, since reuse presents mainly low marks, it can be identified as an area for improvement, in order to increase overall performance.",http://dx.doi.org/10.3390/app13064029,ENGINEERING,Y,sustainable design,
744,Identifying Brand Consistency by Product Differentiation Using CNN,"Wang, Hung-Hsiang; Chen, Chih-Ping",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,2024,"This paper presents a new method of using a convolutional neural network (CNN) in machine learning to identify brand consistency by product appearance variation. In Experiment 1, we collected fifty mouse devices from the past thirty-five years from a renowned company to build a dataset consisting of product pictures with pre -defined design features of their appearance and functions. Results show that it is a challenge to distinguish periods for the subtle evolution of the mouse devices with such traditional methods as time series analysis and principal component analysis (PCA). In Experiment 2, we applied deep learning to predict the extent to which the product appearance variation of mouse devices of various brands. The investigation collected 6,042 images of mouse devices and divided them into the Early Stage and the Late Stage. Results show the highest accuracy of 81.4% with the CNN model, and the evaluation score of brand style consistency is 0.36, implying that the brand consistency score converted by the CNN accuracy rate is not always perfect in the real world. The relationship between product appearance variation, brand style consistency, and evaluation score is beneficial for predicting new product styles and future product style roadmaps. In addition, the CNN heat maps highlight the critical areas of design features of different styles, providing alternative clues related to the blurred boundary. The study provides insights into practical problems for designers, manufacturers, and marketers in product design. It not only contributes to the scientific understanding of design development, but also provides industry professionals with practical tools and methods to improve the design process and maintain brand consistency. Designers can use these techniques to find features that influence brand style. Then, capture these features as innovative design elements and maintain core brand values.",http://dx.doi.org/10.32604/cmes.2024.047630,ENGINEERING,Y,Product imga modeling.,
770,TechNet: Technology semantic network based on patent data,"Sarica, Serhad; Luo, Jianxi; Wood, Kristin L.",EXPERT SYSTEMS WITH APPLICATIONS,2020,"The growing developments in general semantic networks, knowledge graphs and ontology databases have motivated us to build a large-scale comprehensive semantic network of technology-related data for engineering knowledge discovery, technology search and retrieval, and artificial intelligence for engineering design and innovation. Specially, we constructed a technology semantic network (TechNet) that covers the elemental concepts in all domains of technology and their semantic associations by mining the complete U.S. patent database from 1976. To derive the TechNet, natural language processing techniques were utilized to extract terms from massive patent texts and recent word embedding algorithms were employed to vectorize such terms and establish their semantic relationships. We report and evaluate the TechNet for retrieving terms and their pairwise relevance that is meaningful from a technology and engineering design perspective. The TechNet may serve as an infrastructure to support a wide range of applications, e.g., technical text summaries, search query predictions, relational knowledge discovery, and design ideation support, in the context of engineering and technology, and complement or enrich existing semantic databases. To enable such applications, the TechNet is made public via an online interface and APIs for public users to retrieve technology-related terms and their relevancies. (C) 2019 Elsevier Ltd. All rights reserved.",http://dx.doi.org/10.1016/j.eswa.2019.112995,ENGINEERING,Y,patent semantic network,
786,Monte Carlo Tree Search as an intelligent search tool in structural design problems,"Rossi, Leonardo; Winands, Mark H. M.; Butenweg, Christoph",ENGINEERING WITH COMPUTERS,2022,"Monte Carlo Tree Search (MCTS) is a search technique that in the last decade emerged as a major breakthrough for Artificial Intelligence applications regarding board- and video-games. In 2016, AlphaGo, an MCTS-based software agent, outperformed the human world champion of the board game Go. This game was for long considered almost infeasible for machines, due to its immense search space and the need for a long-term strategy. Since this historical success, MCTS is considered as an effective new approach for many other scientific and technical problems. Interestingly, civil structural engineering, as a discipline, offers many tasks whose solution may benefit from intelligent search and in particular from adopting MCTS as a search tool. In this work, we show how MCTS can be adapted to search for suitable solutions of a structural engineering design problem. The problem consists of choosing the load-bearing elements in a reference reinforced concrete structure, so to achieve a set of specific dynamic characteristics. In the paper, we report the results obtained by applying both a plain and a hybrid version of single-agent MCTS. The hybrid approach consists of an integration of both MCTS and classic Genetic Algorithm (GA), the latter also serving as a term of comparison for the results. The study's outcomes may open new perspectives for the adoption of MCTS as a design tool for civil engineers.",https://doi.org/10.1007/s00366-021-01338-,ENGINEERING,Y,Search in design ,
806,Application of DMSFNN-COA technique for brand image design,"Wei, Lei",HELIYON,2024,"Color plays a pivotal role in product design, as it can evoke emotional responses from users. Understanding these emotional needs is crucial for effective brand image design. This paper introduces a novel approach, the Brand Image Design using Deep Multi-Scale Fusion Neural Network optimized with Cheetah Optimization Algorithm (BID-DMSFNN-COA), for classifying product color brand images as Stylish and Natural. By leveraging deep learning techniques and optimization algorithms, the proposed method aims to enhance brand image accuracy and address existing challenges in product color trend forecasting research. Initially, data are collected from the Mnist Data Set. The data are then supplied into the pre-processing section. In the pre-processing segment, it removes the noise and enhances the input image utilizing master slave adaptive notch filter. The Deep Multi-Scale Fusion Neural Network optimized with cheetah optimization algorithm effectively classifies the product colour brand image as Stylish and Natural. Implemented on the MATLAB platform, the BID-DMSFNN-COA technique achieves remarkable accuracy rates of 99 % for both Natural and Stylish classifications. In comparison, existing methods such as BID-GNN, BID-ANN, and BID-CNN yield lower accuracy rates ranging from 65 % to 85 % for Stylish and 65 %-70 % for Natural product color brand image design. The simulation outcomes reveal the superior performance of the BID-DMSFNN-COA technique across various metrics including accuracy, F-score, precision, recall, sensitivity, specificity, and ROC analysis. Notably, the proposed method consistently outperforms existing approaches, providing higher values across all evaluation criteria. These findings underscore the effectiveness of the BID-DMSFNN-COA technique in enhancing brand image design through accurate product color classification.",http://dx.doi.org/10.1016/j.heliyon.2024.e32674,ENGINEERING,Y,color design,
845,A framework for design optimization across multiple concepts,"Kenny, Angus; Ray, Tapabrata; Singh, Hemant",SCIENTIFIC REPORTS,2024,"In engineering design, there often exist multiple conceptual solutions to a given problem. Concept design and selection is the first phase of the design process that is estimated to affect up to 70% of the life cycle cost of a product. Currently, optimization methods are rarely used in this phase, since standard optimization methods inherently assume a fixed (given) concept; and undertaking a full-fledged optimization for each possible concept is untenable. In this paper, we aim to address this gap by developing a framework that searches for optimum solutions efficiently across multiple concepts, where each concept may be defined using a different number, or type, of variables (continuous, binary, discrete, categorical etc.). The proposed approach makes progressive data-driven decisions regarding which concept(s) and corresponding solution(s) should be evaluated over the course of search, so as to minimize the computational budget spent on less promising concepts, as well as ensuring that the search does not prematurely converge to a non-optimal concept. This is achieved through the use of a tree-structured Parzen estimator (TPE) based sampler in addition to Gaussian process (GP), and random forest (RF) regressors. Aside from extending the use of GP and RF to search across multiple concepts, this study highlights the previously unexplored benefits of TPE for design optimization. The performance of the approach is demonstrated using diverse case studies, including design of a cantilever beam, coronary stents, and lattice structures using a limited computational budget. We believe this contribution fills an important gap and capitalizes on the developments in the machine learning domain to support designers involved in concept-based design.",http://dx.doi.org/10.1038/s41598-024-57468-2,ENGINEERING,Y,design optimization,
877,Data-driven design and morphological analysis of conical six-fold origami structures,"Chen, Yao; Lu, Chenhao; Fan, Weiying; Feng, Jian; Sareh, Pooya",THIN-WALLED STRUCTURES,2023,"In engineering design, origami structures are frequently characterized by their geometry-shifting behavior, mechanical properties, lightness, and appealing aesthetic qualities. In particular, conical origami structures have attracted increasing attention in recent years owing to their excellent energy absorption performance. However, designing conical structures with customizable geometry and folding morphology has remained a less explored research area. In this paper, an artificial intelligence (AI)-based framework is proposed for the customizable design of conical origami structures. To this end, first, the geometric relationships between the 2D crease patterns and 3D structures have been derived to determine the critical parameters. Subsequently, a data-driven method based on a deep neural network (DNN) is developed to train and predict the relationship among these critical parameters to facilitate the parametric design of conical origami structures. Importantly, although the DNN model is trained based on a limited set of data, error analyses demonstrate that the predicted crease patterns are in satisfactory agreement with analytical solutions, verified by physical models. Moreover, numerical simulations are performed to reveal the folding morphology and ensure the smooth deployment of the origami structures. Finally, the findings of this study indicate that conical origami structures are promising choices for further research and development in the area of lightweight energy-absorption structures.",http://dx.doi.org/10.1016/j.tws.2023.110626,ENGINEERING,Y,data-driven meta material design,
880,Nacelle optimisation through multi-fidelity neural networks,"Sanchez-Moreno, Francisco; MacManus, David; Tejero, Fernando; Sheaf, Christopher",INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,2024,"PurposeAerodynamic shape optimisation is a complex problem usually governed by transonic non-linear aerodynamics, a high dimensional design space and high computational cost. Consequently, the use of a numerical simulation approach can become prohibitive for some applications. This paper aims to propose a computationally efficient multi-fidelity method for the optimisation of two-dimensional axisymmetric aero-engine nacelles.Design/methodology/approachThe nacelle optimisation approach combines a gradient-free algorithm with a multi-fidelity surrogate model. Machine learning based on artificial neural networks (ANN) is used as the modelling technique because of its ability to handle non-linear behaviour. The multi-fidelity method combines Reynolds-averaged Navier Stokes and Euler CFD calculations as high- and low-fidelity, respectively.FindingsRatios of low- and high-fidelity training samples to degrees of freedom of nLF/nDOFs = 50 and nHF/nDOFs = 12.5 provided a surrogate model with a root mean squared error less than 5% and a similar convergence to the optimal design space when compared with the equivalent CFD-in-the-loop optimisation. Similar nacelle geometries and aerodynamic flow topologies were obtained for down-selected designs with a reduction of 92% in the computational cost. This highlights the potential benefits of this multi-fidelity approach for aerodynamic optimisation within a preliminary design stage.Originality/valueThe application of a multi-fidelity technique based on ANN to the aerodynamic shape optimisation problem of isolated nacelles is the key novelty of this work. The multi-fidelity aspect of the method advances current practices based on single-fidelity surrogate models and offers further reductions in computational cost to meet industrial design timescales. Additionally, guidelines in terms of low- and high-fidelity sample sizes relative to the number of design variables have been established.",http://dx.doi.org/10.1108/HFF-12-2023-0745,ENGINEERING,Y,Aerospace engineering.,
884,BAYESIAN MESH OPTIMIZATION FOR GRAPH NEURAL NETWORKS TO ENHANCE ENGINEERING PERFORMANCE PREDICTION,"Park, Jangseop; Kang, Namwoo","PROCEEDINGS OF ASME 2023 INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, IDETC-CIE2023, VOL 3A",2023,"In the field of engineering design, surrogate models for 3D computer-aided design (CAD) have been widely used to replace computationally expensive simulations. However, the conventional surrogate modeling process, which relies on the geometric parameters (or design variables) of CAD, has limitations when dealing with complex structural shapes commonly found in industry datasets. These limitations include information loss in low dimensions and difficulty in parametrization. This study proposes a Bayesian graph neural network (GNN) framework for a 3D deep-learning-based surrogate model that predicts engineering performance by directly learning the geometric features of CAD with mesh representation. Our proposed framework derives the optimal size of the mesh elements, creating a high-accuracy surrogate model with Bayesian optimization. It also solves the heterogeneity problem of 3D CAD data in that 2D images have regular pixel structures, whereas 3D CADs have irregular structures. From the experimental results, the mesh quality is highly correlated with the prediction accuracy of the surrogate model, and there exists an optimal mesh size that satisfies the high-performance requirements of the surrogate model. We expect that our proposed framework has the potential to be applied to mesh-based simulations in various engineering fields, reflecting the physics-based information widely used in computer-aided engineering.",,ENGINEERING,Y,mesh optimization for design surrogates,
893,Topology optimization based on improved DoubleU-Net using four boundary condition datasets,"Li, Shun; Zeng, Peijian; Lin, Nankai; Lu, Maohua; Lin, Jianghao; Yang, Aimin",ENGINEERING OPTIMIZATION,2024,"Topology optimization is extensively employed in engineering design. However, applying deep learning to solve topology optimization problems faces challenges owing to limited training data and model adaptability to various boundary conditions. To address these challenges, this research has employed a solid isotropic material with a penalization method to produce a dataset of 400,000 2D samples covering four boundary conditions. Each boundary condition includes two resolution datasets. Moreover, an improved DoubleU-Net model is proposed for real-time topology optimization, ensuring high-accuracy predictions. On the test dataset, the average Intersection over Union (IoU) accuracies of the proposed model for the four boundary conditions above are 93.26%, 96.71%, 96.35% and 97.38%. This research also investigated the impact of different structural datasets on the model's generalization capability. The experimental results indicate that the model trained on random structures exhibits excellent testing performance and demonstrates robust generalization capability.",http://dx.doi.org/10.1080/0305215X.2024.2338189,ENGINEERING,Y,structral design,
