keyword,total_frequency,first_appearance,last_appearance,average_year,year_span,early_period_freq,recent_period_freq,trend_score,growth_rate,dominant_ai_method,trend_category
developed,2,2021,2024,2022.5,3,1,1,0,0.0,,Stable
product development,2,2020,2024,2022.0,4,1,1,0,0.0,,Stable
product specifications,2,2020,2022,2021.0,2,1,1,0,0.0,,Stable
opportunities,2,2021,2022,2021.5,1,1,1,0,0.0,,Stable
users,4,2020,2024,2021.75,4,2,2,0,0.0,,Stable
stage,2,2021,2024,2022.5,3,1,1,0,0.0,,Stable
app,2,2021,2022,2021.5,1,1,1,0,0.0,,Stable
service,2,2020,2022,2021.0,2,1,1,0,0.0,,Stable
real,2,2020,2023,2021.5,3,1,1,0,0.0,,Stable
support,4,2020,2024,2021.5,4,2,2,0,0.0,,Stable
challenges,2,2020,2024,2022.0,4,1,1,0,0.0,,Stable
decision making,2,2020,2023,2021.5,3,1,1,0,0.0,,Stable
drawing,2,2020,2023,2021.5,3,1,1,0,0.0,,Stable
decision,4,2020,2023,2021.5,3,2,2,0,0.0,,Stable
high,2,2021,2023,2022.0,2,1,1,0,0.0,,Stable
seven,2,2020,2024,2022.0,4,1,1,0,0.0,,Stable
supported,2,2021,2024,2022.5,3,1,1,0,0.0,,Stable
gap,2,2020,2024,2022.0,4,1,1,0,0.0,,Stable
components,4,2020,2024,2022.25,4,2,2,0,0.0,,Stable
policy,2,2021,2023,2022.0,2,1,1,0,0.0,,Stable
terms,2,2020,2022,2021.0,2,1,1,0,0.0,,Stable
loss,2,2020,2022,2021.0,2,1,1,0,0.0,,Stable
ai technology,2,2021,2023,2022.0,2,1,1,0,0.0,,Stable
ideas,2,2020,2024,2022.0,4,1,1,0,0.0,,Stable
devices,2,2020,2024,2022.0,4,1,1,0,0.0,,Stable
consistency,2,2020,2024,2022.0,4,1,1,0,0.0,,Stable
eeg,2,2021,2024,2022.5,3,1,1,0,0.0,,Stable
human factors,2,2021,2024,2022.5,3,1,1,0,0.0,,Stable
aesthetic,2,2020,2024,2022.0,4,1,1,0,0.0,,Stable
reinforcement,4,2021,2024,2022.5,3,2,2,0,0.0,,Stable
smart,2,2020,2023,2021.5,3,1,1,0,0.0,,Stable
products,2,2021,2022,2021.5,1,1,1,0,0.0,,Stable
hand,2,2020,2024,2022.0,4,1,1,0,0.0,,Stable
reinforcement learning,4,2021,2024,2022.5,3,2,2,0,0.0,,Stable
customers,3,2020,2022,2021.0,2,2,1,-1,-50.0,,Declining
developers,3,2020,2024,2021.3333333333333,4,2,1,-1,-50.0,,Declining
vehicle,3,2020,2022,2021.0,2,2,1,-1,-50.0,,Declining
recognition,5,2020,2024,2022.0,4,3,2,-1,-33.33333333333333,,Recent Entry
technology,5,2020,2023,2021.2,3,3,2,-1,-33.33333333333333,,Declining
classification,3,2020,2024,2021.3333333333333,4,2,1,-1,-50.0,,Declining
speech,2,2021,2021,2021.0,0,2,0,-2,-100.0,,Declining
different,2,2021,2021,2021.0,0,2,0,-2,-100.0,,Declining
development,3,2020,2021,2020.3333333333333,1,3,0,-3,-100.0,,Declining
input,3,2020,2021,2020.6666666666667,1,3,0,-3,-100.0,,Declining
