Index,Article_Title,Category,Reference_Text_Preview,Found,Page_Numbers,Match_Confidence,Verification_Method,Issue_Type,Full_Reference_Text,Notes,Timestamp
182,Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive Text/Voice Artificial Intelligence (AI) Agent,AI methods,We applied the LSTM [5] hidden layers in the machine learning model because of their ability to deal...,Y,CANDIDATES,45,SEMANTIC,PARAPHRASE,We applied the LSTM [5] hidden layers in the machine learning model because of their ability to deal with long time-dependencies.,,2025-11-28T16:03:20.403949
182,Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive Text/Voice Artificial Intelligence (AI) Agent,Design Discipline,design-focused dataset obtained from transcripts of experts engaged in engineering design problem so...,Y,CANDIDATES,45,SEMANTIC,PARAPHRASE,"design-focused dataset obtained from transcripts of experts engaged in engineering design problem solving (unavailable publicly). Based on the results from these models, we propose the necessary improvements on models and training datasets that must be resolved in order to achieve usable and reliable collaborative text/voice systems that fall in this class of AI systems.",,2025-11-28T16:03:20.427856
86,Ecological Design with the Use of Selected Inventive Methods including AI-Based,Data Modality,"Questionnaires had been developed to collect the ideas. At stage one, participants in the creativity...",Y,CANDIDATES,95,EXACT,NONE,"Questionnaires had been developed to collect the ideas. At stage one, participants in the creativity session gave answers to the biased questions based on the reverse brainstorming and stimulating methods. The environmental quality assessment (EQA) is the arithmetic mean of answers to the questions shown in Table 6 (always one answer only).",,2025-11-28T16:03:20.582931
130,Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,Data Modality,"Text-to-Image AI models (algorithms able to generate high quality images from text inputs), now enab...",Y,CANDIDATES,98,EXACT,NONE,"Text-to-Image AI models (algorithms able to generate high quality images from text inputs), now enabling a radical change and probably introducing a new paradigm which will affect all creative disciplines, including product design.",,2025-11-28T16:03:21.718121
104,Topology Optimization of Industrial Equipment: A Deep Learning Approach and Software Implement,"AI Assistance Types (Lee and Kim, 2025)",the established deep learning model can output the most available topology structure according to th...,Y,CANDIDATES,72,PARAPHRASE,PARAPHRASE,"the established deep learning model can output the most available topology structure according to the initial displacement field of the structure. once the neural network has been trained, it can be used to quickly and accurately predict the topology under various operating conditions.",,2025-11-28T16:03:22.065506
104,Topology Optimization of Industrial Equipment: A Deep Learning Approach and Software Implement,Data Modality,"U_1, U_2, vol are merged into a three-channel image data of size [number of row nodes, number of col...",Y,CANDIDATES,75,PARAPHRASE,PARAPHRASE,"U_1, U_2, vol are merged into a three-channel image data of size [number of row nodes, number of column nodes, 3, number of samples]. The output of the deep learning model provides the optimized structure layout under the given conditions in the form of a relative density matrix, with dimensions of 32×64",,2025-11-28T16:03:22.134107
104,Topology Optimization of Industrial Equipment: A Deep Learning Approach and Software Implement,Design Practice/Task,"Topology-optimization design aims to improve the structural strength, reduce the weight, and optimiz...",Y,CANDIDATES,65,SEMANTIC,PARAPHRASE,"Topology-optimization design aims to improve the structural strength, reduce the weight, and optimize the overall performance and reliability of a product by optimizing the material distribution and structural form, using numerical computation and optimization algorithms. In equipment product design, topology-optimization design has great potential to help designers and engineers overcome many challenges faced by traditional design methods.",,2025-11-28T16:03:23.156444
130,Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,Design Phase,The goal is to determine to which extent AI models can reproduce or complement the performance of gr...,Y,CANDIDATES,98,EXACT,NONE,"The goal is to determine to which extent AI models can reproduce or complement the performance of grammar algorithms as creative support tools for shape exploration in conceptual product design. Workflows, advantages and limitations are identified through a comprehensive practical comparison example.",,2025-11-28T16:03:23.496142
86,Ecological Design with the Use of Selected Inventive Methods including AI-Based,Design Discipline,This article presents research results on the use of inventive methods to develop an eco-friendly pr...,Y,CANDIDATES,98,EXACT,NONE,"This article presents research results on the use of inventive methods to develop an eco-friendly product. A household appliance was selected as the object of research. The research was conducted on a household appliance—a refrigerator. The manufacturing of household appliances, which are categorized as electrical and electronic equipment, is one of the pillars of the European economy and is undergoing continuous development.",,2025-11-28T16:03:24.193522
182,Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive Text/Voice Artificial Intelligence (AI) Agent,"AI Assistance Types (Lee and Kim, 2025)","observe what a human is doing, then interject with suggestions that aid in ideageneration or problem...",Y,CANDIDATES,95,EXACT,NONE,"observe what a human is doing, then interject with suggestions that aid in ideageneration or problem solving in a human-AI (H-AI) team; something that goes beyond current creativity support systems by replacing a human-human (H-H) team with a H-AI one. The proposed DI is distinct from tutors, chatbots, recommenders and other similar systems since they seek to diverge from a solution (rather than converge towards one) by encouraging consideration of other possibilities.",,2025-11-28T16:03:24.243046
82,A Novel Approach of Integrating Natural Language Processing Techniques with Fuzzy TOPSIS for Product Evaluation,AI methods,"Word2Vec, as a more prominent method, was first developed by Google's Tomas Mikolov et al. [63]. It ...",Y,CANDIDATES,75,PARAPHRASE,PARAPHRASE,"Word2Vec, as a more prominent method, was first developed by Google's Tomas Mikolov et al. [63]. It was proposed in 2013 by using the middle layer parameters of the model to convert natural language vocabulary from the one-hot form into a word vector model represented by a fixed-length dense vector. The semantic logical relationship between words can be reflected by the correlation between word vectors. Essentially, this model is a word prediction model based on the core algorithm of a neural network (Figure 2).",,2025-11-28T16:03:24.456056
82,A Novel Approach of Integrating Natural Language Processing Techniques with Fuzzy TOPSIS for Product Evaluation,Design Practice/Task,"the design team need to consider various factors from customer needs, technical attributes and desig...",Y,CANDIDATES,100,EXACT,NONE,"the design team need to consider various factors from customer needs, technical attributes and design constraints, and then develop appropriate evaluation models to determine the priority ranking of the candidate design options. As a gatekeeper, the impact of design concept evaluation on the novelty, feasibility and quality of the final product is extremely important. In essence, the product innovation design scheme is a typical multi-attribute comprehensive decision-making problem (MCDM), which is essentially a multi-objective, multi-level, and uncertain complex decision-making process.",,2025-11-28T16:03:24.553851
104,Topology Optimization of Industrial Equipment: A Deep Learning Approach and Software Implement,AI methods,the mapping relationship between the initial displacement field and the topology is established base...,Y,CANDIDATES,90,EXACT,NONE,"the mapping relationship between the initial displacement field and the topology is established based on convolutional neural network. The results show that the developed topology optimization software can directly give the corresponding topology structure according to the structural parameters and optimization parameters set by the user, and the established deep learning model can output the most available topology structure according to the initial displacement field of the structure.",,2025-11-28T16:03:24.802974
182,Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive Text/Voice Artificial Intelligence (AI) Agent,Design Practice/Task,Our work extends beyond this concept of keywords by replacing a human collaborator with an AI that d...,Y,CANDIDATES,75,PARAPHRASE,PARAPHRASE,"Our work extends beyond this concept of keywords by replacing a human collaborator with an AI that disruptively interjects with phrases or sentences to the human, which is closer to how humans talk to each other during collaborative idea generation.",,2025-11-28T16:03:25.190771
182,Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive Text/Voice Artificial Intelligence (AI) Agent,Data About,We trained a language model comprising between 1 to 3 Long Short Term Memory (LSTM) layers (with ∼12...,Y,CANDIDATES,60,EXACT,PARAPHRASE,We trained a language model comprising between 1 to 3 Long Short Term Memory (LSTM) layers (with ∼123K parameters) shown in 32 below using Ubuntu community tech support chat data. We then implemented a sentence generator trained on a transcript of design sessions involving practicing engineering designers working on a defined task.,,2025-11-28T16:03:26.279861
104,Topology Optimization of Industrial Equipment: A Deep Learning Approach and Software Implement,Data About,"Equipment product design is a crucial task in modern engineering, its performance and effectiveness ...",N,CANDIDATES,85,NONE,HALLUCINATION,"Equipment product design is a crucial task in modern engineering, its performance and effectiveness directly affect the quality, efficiency and safety of industrial production. Topology-optimization design aims to improve the structural strength, reduce the weight, and optimize the overall performance and reliability of a product by optimizing the material distribution and structural form.",,2025-11-28T16:03:26.318675
82,A Novel Approach of Integrating Natural Language Processing Techniques with Fuzzy TOPSIS for Product Evaluation,Data About,product evaluation method that combines natural language processing techniques and fuzzy multi-crite...,Y,CANDIDATES,75,PARAPHRASE,PARAPHRASE,"product evaluation method that combines natural language processing techniques and fuzzy multi-criteria decision-making into a new integrated way to reduce the cognitive difference between users and designers, so as to solve the problem of cognitive asymmetry. This was done firstly by obtaining the review data of products from users on the Internet, based on a web crawler, and then constructing word vectors based on natural language processing techniques to realize the parametric expression of the Kansei image. Secondly, by using a statistical method to extract the product scheme that meets the preferences of users and designers, and then quantifying the relationship between the product form and Kansei image based on a grey relational analysis (GRA).",,2025-11-28T16:03:27.167486
86,Ecological Design with the Use of Selected Inventive Methods including AI-Based,"AI Assistance Types (Lee and Kim, 2025)","An ecological analysis of the designed product, including AI-based (artificial neural networks), was...",Y,CANDIDATES,95,EXACT,NONE,"An ecological analysis of the designed product, including AI-based (artificial neural networks), was carried out, which showed the legitimacy of the actions taken to develop an environmentally friendly product. The proposed ANN was able to quickly estimate and identify a solution to the problem of selecting/optimising the product parameters as a basic or competitive solution to a traditional IT program. To solve the overall problem, we used a single artificial neural network in which the input to the network was questions and answers (56, 57, stages: PRE-MANUFACTURING, MANUFACTURING, POST-MANUFACTURING) and the output was the class in Table 5 (EQA).",,2025-11-28T16:03:27.225997
132,Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,Data Modality,"To show the application of the proposed supervised learning framework, 945 teardown images of smartp...",Y,LOCAL,80,PARTIAL,NONE,"To show the application of the proposed supervised learning framework, 945 teardown images of smartphones and their corresponding repairability scores have been collected from the iFixit website. In this study, a total of 66 X-ray images were collected from the iFixit website.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:27.890206
132,Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,AI methods,The first approach is a supervised learning framework that utilizes object detection on product tear...,Y,LOCAL,80,PARTIAL,NONE,"The first approach is a supervised learning framework that utilizes object detection on product teardown images to measure repairability. Transfer learning is employed with machine learning architectures such as ConvNeXt, GoogLeNet, ResNet50, and VGG16 to evaluate repairability scores.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:27.902520
132,Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,Data About,The first approach is a supervised learning framework that utilizes object detection on product tear...,Y,LOCAL,80,PARTIAL,NONE,"The first approach is a supervised learning framework that utilizes object detection on product teardown images to measure repairability. Transfer learning is employed with machine learning architectures such as ConvNeXt, GoogLeNet, ResNet50, and VGG16 to evaluate repairability scores. The second approach is an unsupervised learning framework that combines feature extraction and cluster learning to identify product design features and group devices with similar designs.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:27.908609
132,Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,Design Phase,this study introduces two artificial intelligence (AI) based approaches. The first approach is a sup...,Y,LOCAL,80,PARTIAL,NONE,"this study introduces two artificial intelligence (AI) based approaches. The first approach is a supervised learning framework that utilizes object detection on product teardown images to measure repairability. Transfer learning is employed with machine learning architectures such as ConvNeXt, GoogLeNet, ResNet50, and VGG16 to evaluate repairability scores. The second approach is an unsupervised learning framework that combines feature extraction and cluster learning to identify product design features and group devices with similar designs.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:27.910264
132,Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,Design Practice/Task,Designers have started incorporating design-for-X strategies such as design for disassembly and repa...,Y,LOCAL,80,PARTIAL,NONE,"Designers have started incorporating design-for-X strategies such as design for disassembly and repair into consideration when evaluating design alternatives. Product design affects the difficulty of repair [6] and influences the steps of disassembling [7], and the efficiency of the entire waste management process [8].",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:27.910708
82,A Novel Approach of Integrating Natural Language Processing Techniques with Fuzzy TOPSIS for Product Evaluation,Design Discipline,help industrial designers and manufacturers re-evaluate their product design to improve consumer sat...,Y,CANDIDATES,95,EXACT,NONE,help industrial designers and manufacturers re-evaluate their product design to improve consumer satisfaction. Product designers need to fully understand consumers' emotional preferences and responses for product forms to improve products. this research proposes a product form design decision-making method driven by user Kansei images based on natural language processing and grey theory.,,2025-11-28T16:03:28.433550
86,Ecological Design with the Use of Selected Inventive Methods including AI-Based,Data About,"Fifty-four neurons were placed in the input layer, each of which was responsible for answering one q...",Y,CANDIDATES,95,EXACT,NONE,"Fifty-four neurons were placed in the input layer, each of which was responsible for answering one question (one numerical parameter) from Table 6. The environmental quality assessment (EQA) is the arithmetic mean of answers to the questions shown in Table 6. Results of an environmental analysis of the product justify the actions taken to design an environmentally friendly product.",,2025-11-28T16:03:28.654597
86,Ecological Design with the Use of Selected Inventive Methods including AI-Based,Design Practice/Task,Detaileddesign - Selectmaterialstakingintoconsiderationenvironmentalaspects. - Analyzetheproductlife...,Y,CANDIDATES,65,PARAPHRASE,PARAPHRASE,"Detaileddesign - Selectmaterialstakingintoconsiderationenvironmentalaspects. - Analyzetheproductlifecycle. - Designtheproduct,takingintoconsiderationtheassembly anddisassembly. The designed product is highly recyclable and environmentally friendly. An ecological analysis of the designed product, including AI-based (artificial neural networks), was carried out.",,2025-11-28T16:03:29.507103
82,A Novel Approach of Integrating Natural Language Processing Techniques with Fuzzy TOPSIS for Product Evaluation,Data Modality,"Customer reviews are collected from the two most popular mainstream e-commerce websites (Taobao, Jin...",Y,CANDIDATES,80,PARAPHRASE,PARAPHRASE,"Customer reviews are collected from the two most popular mainstream e-commerce websites (Taobao, JingDong). Then, we searched for the smart capsule coffee machine that users prefer based on the most recent year's sales and the number of reviews as a test sample. In the review page, this study used the web crawler tool Jieba to capture the text content of the reviews... interviews between experts and designers were used to investigate the semantic space of related perceptual images corresponding to the samples, and 20 smart capsule coffee machine products samples were processed in A4 size, and the resolution was set to a uniform 100 dpi, and the background was removed to make the samples clear.",,2025-11-28T16:03:30.172647
128,Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),Data Modality,To identify customers´ perceptions of the features of the ffp2 and kn95 masks and their relevance to...,Y,LOCAL,80,PARTIAL,NONE,"To identify customers´ perceptions of the features of the ffp2 and kn95 masks and their relevance to the general rating, online reviews were manually captured from Amazon webpages (Amazon.com, Inc., Seattle, Washington, United States). Only comments written in Spanish were collected. A total of 2,047 reviews were collected, from which, after text mining, 97 words with a frequency over 1.5% and under 30% were stored for further analysis.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:32.139653
128,Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),Design Practice/Task,"Identification of user needs, preferences, and requirements could be helpful in this regard. Today, ...",Y,LOCAL,80,PARTIAL,NONE,"Identification of user needs, preferences, and requirements could be helpful in this regard. Today, there is a general consensus that online reviews contain valuable information about customers' evaluation of the attributes of products, services, and experiences, which can be used to assess customers' requirements, needs, preferences, product defects, and important attributes. Therefore, the present study aimed to apply Explainable Artificial Intelligence (SHAP) to identify attributes and features of face masks from online customer reviews and their relevance to purchase decision-making to guide product improvement.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:32.140440
128,Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),AI methods,LDA is a machine-learning-generative statistical model that outputs a vector representation of the p...,Y,LOCAL,80,PARTIAL,NONE,LDA is a machine-learning-generative statistical model that outputs a vector representation of the probability of words in a topic. The relevance of the identified topics in the stars ranking was assessed using a GBT model. The analysis was performed via Python software (Python Software Foundation) using the Gradient Boosting Classifier from scikit learn,Found via local text search (partial match - first 50 chars),2025-11-28T16:03:32.140840
128,Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),Design Discipline,"This paper evaluates the usefulness of combining LDA for topic modeling, Gradient Boost trees (GBT) ...",Y,LOCAL,80,PARTIAL,NONE,"This paper evaluates the usefulness of combining LDA for topic modeling, Gradient Boost trees (GBT) for ML, and SHapley Additive exPlanations (SHAP) to develop an interpretable model for face mask attribute impact on online ratings. It aids in understanding product attributes influencing satisfaction for product design and improvement, especially in the dynamic context of face mask preferences and purchasing decisions.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:32.141196
128,Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),Data About,"Today, there is a general consensus that online reviews contain valuable information about customers...",Y,LOCAL,80,PARTIAL,NONE,"Today, there is a general consensus that online reviews contain valuable information about customers' evaluation of the attributes of products, services, and experiences, which can be used to assess customers' requirements, needs, preferences, product defects, and important attributes",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:32.141592
128,Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),Design Phase,"Identification of user needs, preferences, and requirements could be helpful in this regard. Therefo...",Y,LOCAL,80,PARTIAL,NONE,"Identification of user needs, preferences, and requirements could be helpful in this regard. Therefore, the present study aimed to apply Explainable Artificial Intelligence (SHAP) to identify attributes and features of face masks from online customer reviews and their relevance to purchase decision-making to guide product improvement. online reviews contain valuable information about customers' evaluation of the attributes of products, services, and experiences, which can be used to assess customers' requirements, needs, preferences, product defects, and important attributes",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:32.141943
128,Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),"AI Assistance Types (Lee and Kim, 2025)",The relevance of the identified topics in the stars ranking was assessed using a GBT model. For this...,Y,LOCAL,80,PARTIAL,NONE,"The relevance of the identified topics in the stars ranking was assessed using a GBT model. For this purpose, each rating was categorized as follows: 1 for scores higher than 3 stars (4 or 5) and 0 for the rest... LDA analysis was applied to identify latent topics... SHAP package. This is model-agnostic and uses the Shapley values from game theory to estimate how each feature contributes to the prediction... the present study aimed to apply Explainable Artificial Intelligence (SHAP) to identify attributes and features of face masks from online customer reviews and their relevance to purchase decision-making to guide product improvement... Accordingly, the innovation agenda for this product should focus on the following: avoiding customer confusion about mask type (ffp2 or kn95), brand, and origin (Topic 2); compliance with standards and/or EC labeling (Topic 4)",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:32.142356
104,Topology Optimization of Industrial Equipment: A Deep Learning Approach and Software Implement,Design Phase,"Therefore, in this paper, based on the SIMP method of flexibility minimization, topology optimizatio...",Y,CANDIDATES,85,PARAPHRASE,NONE,"Therefore, in this paper, based on the SIMP method of flexibility minimization, topology optimization software for industrial equipment is first developed using PyQt. Then, samples with different boundary conditions are generated using the developed topology optimization software. Finally, the mapping relationship between the initial displacement field and the topology is established based on convolutional neural network.",,2025-11-28T16:03:35.003879
111,An approach to user knowledge acquisition in product design,AI methods,Machine learning is a quick way to respond to the needs of users. Machine learning approach [23] is ...,Y,LOCAL,80,PARTIAL,NONE,Machine learning is a quick way to respond to the needs of users. Machine learning approach [23] is applied for product ecosystems by examining a large amount of online user-generated product reviews. Hybrid machine learning algorithm [24] is applied for the design feature recommendation during the conceptual design phase.,Found via local text search (partial match - first 50 chars),2025-11-28T16:03:36.849894
111,An approach to user knowledge acquisition in product design,Design Discipline,"This paper presents an approach to user knowledge acquisition in the product design process, which o...",Y,LOCAL,80,PARTIAL,NONE,"This paper presents an approach to user knowledge acquisition in the product design process, which obtains the tangible requirements of users under the premise that users are adequate for participation. The washing machine design project is used as a case study to explain the implementation of the proposed approach.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:36.890919
111,An approach to user knowledge acquisition in product design,"AI Assistance Types (Lee and Kim, 2025)","In the knowledge discovery stage, after less concerned partial solutions are removed and vacant item...",Y,LOCAL,80,PARTIAL,NONE,"In the knowledge discovery stage, after less concerned partial solutions are removed and vacant items are predicted to be supplemented, the final collection of user design information is obtained. Finally, based on rough set theory, design knowledge can be extracted to support the decision of the product model. In the submission stage, natural language processing technology is used to transform text form solutions into data, so that computer technology can be applied to manage large-scale user requirements.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:36.901040
111,An approach to user knowledge acquisition in product design,Design Phase,"Requirement elicitation is a critical process for product design. In the process, user requirements ...",Y,LOCAL,80,PARTIAL,NONE,"Requirement elicitation is a critical process for product design. In the process, user requirements can be extracted by massive user-generated data. The focus of this paper is to develop a suitable user knowledge acquisition approach for collaborative design. This approach not only allows a large number of users to participate in the product design process under a friendly experience but also provides a quick understanding of the user's real needs.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:36.949411
111,An approach to user knowledge acquisition in product design,Data Modality,"natural language processing technology is used to transform text form solutions into data, so that c...",Y,LOCAL,80,PARTIAL,NONE,"natural language processing technology is used to transform text form solutions into data, so that computer technology can be applied to manage large-scale user requirements. Users often don't have the expertise for design. Therefore, they usually submit product solutions in text form. The text form solutions submitted by the user typically contain multiple information, and they are always unstructured.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:36.993045
149,The form of AI-driven luxury: how generative AI (GAI) and Large Language Models (LLMs) are transforming the creative process,Design Phase,This paper aims to provide a comprehensive understanding of the extent to which generative AI (GAI) ...,Y,LOCAL,80,PARTIAL,NONE,"This paper aims to provide a comprehensive understanding of the extent to which generative AI (GAI) tools and Large Language Models (LLMs) can design new creative and meaningful products in the luxury industry. To this end, the research involves three qualitative studies to understand the cognitive and emotional response towards the creative outcome. A total of 100 images were generated. we investigate consumers' response towards luxury bags designed by AI, and we compare and contrast this response when consumers are informed of GAI authorship",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:39.680143
149,The form of AI-driven luxury: how generative AI (GAI) and Large Language Models (LLMs) are transforming the creative process,Design Discipline,This paper aims to provide a comprehensive understanding of the extent to which generative AI (GAI) ...,Y,LOCAL,80,PARTIAL,NONE,"This paper aims to provide a comprehensive understanding of the extent to which generative AI (GAI) tools and Large Language Models (LLMs) can design new creative and meaningful products in the luxury industry. To this end, the research involves three qualitative studies to understand the cognitive and emotional response towards the creative outcome.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:39.690296
149,The form of AI-driven luxury: how generative AI (GAI) and Large Language Models (LLMs) are transforming the creative process,"AI Assistance Types (Lee and Kim, 2025)",This paper aims to provide a comprehensive understanding of the extent to which generative AI (GAI) ...,Y,LOCAL,80,PARTIAL,NONE,"This paper aims to provide a comprehensive understanding of the extent to which generative AI (GAI) tools and Large Language Models (LLMs) can design new creative and meaningful products in the luxury industry. To this end, the research involves three qualitative studies to understand the cognitive and emotional response towards the creative outcome. We developed the prompts to make GAI generate new bags.",Found via local text search (partial match - first 50 chars),2025-11-28T16:03:39.692698
