Index,Article_Title,Category,Reference_Text_Preview,Found,Page_Numbers,Match_Confidence,Verification_Method,Issue_Type,Full_Reference_Text,Notes,Timestamp
108,108_Exploiting Generative Models for Performance Predictions of 3D Car Designs,"AI Assistance Types (Lee and Kim, 2025)",we use machine learning-based surrogate models to predict the performances of car shapes based on th...,Y,1-5,75,FUZZY,PARAPHRASE,"we use machine learning-based surrogate models to predict the performances of car shapes based on the low-dimensional representation learned by 3D point cloud (variational) autoencoders. Furthermore, we exploit the stochastic nature of the representation learned by variational autoencoders to augment the training data for our surrogate models. We utilize the regularized latent space of a variational point cloud autoencoder for fast design prototyping and data augmentation.",First two sentences found in abstract (Page 1) with exact match. Third sentence about 'regularized latent space for fast design prototyping and data augmentation' not found in pages 1-5.,2025-11-07T17:07:38.233463
167,167_Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,AI methods,This study utilizes a brain—computer interface (BCI)—based deep neural network (DNN) and genetic alg...,N,N/A,0,NONE,NOT_FOUND,"This study utilizes a brain—computer interface (BCI)—based deep neural network (DNN) and genetic algorithm (GA) method. The deep neural network (DNN) topology linking HMI visual coding to e-Sense prediction comprises three layers: an input layer with 26 neurons, three fully connected hidden layers, and an output layer with one neurone. The network utilized rectified linear unit (ReLU) activation functions across the hidden layers, with a regression layer at the output. Deep neural networks (DNNs) play a key role in the personalized human-machine interaction interfaces (HMIs) of intelligent electric vehicles. By analyzing complex user data, interactions are customized, the learning environment is optimized, and the user experience is enhanced.",Searched all 18 pages in 5-page chunks,2025-11-07T17:07:40.040086
172,172_Beyond Manual Modeling Automating GUI Model Generation Using Design Documents,Data Modality,DemGen employs computer vision pre-trained models in conjunction with a rule-based correction mechan...,Y,1-5,100,EXACT,NONE,"DemGen employs computer vision pre-trained models in conjunction with a rule-based correction mechanism to identify GUI elements and their intended behaviors as defined in those documents. Furthermore, in design documents, there are also texts that serve as expressions specifying transition types, conditions, etc. To capture this textual information, we utilize the OCR technique.",First sentence found in Abstract (Page 1). Second sentence found in Section 3.2 Transition Recognition (Page 5).,2025-11-07T17:07:57.475754
172,172_Beyond Manual Modeling Automating GUI Model Generation Using Design Documents,Design Discipline,"Throughout the development lifecycle of a GUI application, various artifacts are produced, with UI/U...",Y,1-5,85,SEMANTIC,PARAPHRASE,"Throughout the development lifecycle of a GUI application, various artifacts are produced, with UI/UX designs being particularly significant alongside source code, especially in the industrial production environments of large companies. UI/UX designs are crucial as they define the intended appearance and behavior of the application before implementation. Model-based testing (MBT) is an effective approach for this purpose. MBT uses abstract models to represent the expected behavior of the GUI, helping identify and address issues to maintain high-quality user experiences.","The reference text combines content from two separate locations: the first portion about UI/UX designs in development lifecycle appears on Page 2, while the MBT description appears on Page 1. The sentences exist individually but are presented in the reference as if they were adjacent paragraphs.",2025-11-07T17:08:00.274114
167,167_Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,Design Practice/Task,This research identified essential HMI elements for intelligent electric vehicles to understand user...,Y,9-13,65,FUZZY,PARAPHRASE,"This research identified essential HMI elements for intelligent electric vehicles to understand user interaction needs. The developed DNN-GA analyzed user behavior patterns from EEG data to predict preferences and attention levels during driving. These predictions guided the GA in optimizing HMI layouts. In this experiment, EEG data were measured using an AR system integrated into a real vehicle cockpit environment, providing an immersive and realistic driving experience. Participants sequentially interacted with the AR HMI prototype's main control interface, performing tasks such as adjusting the rearview mirror, turning on driving lights, adjusting the seat, closing the sunshade, activating the 360° driving camera, turning on music, and, finally, opening the map. This setup ensured a realistic and interactive evaluation of the HMI design.","The latter portion of the reference text (starting from 'In this experiment, EEG data were measured...') appears word-for-word on Page 9. However, the first three sentences about 'identifying essential HMI elements' and 'DNN-GA analyzed user behavior patterns' are NOT directly quoted from the excerpt - these appear to be synthesized summaries of the methodology described across pages 10-12.",2025-11-07T17:08:01.495099
108,108_Exploiting Generative Models for Performance Predictions of 3D Car Designs,Design Practice/Task,we envision a 3D design assistance system for design exploration with performance assessment in the ...,Y,1-5,65,FUZZY,PARAPHRASE,"we envision a 3D design assistance system for design exploration with performance assessment in the automotive domain. Recent advances in deep learning methods for learning geometric data are a promising step towards realizing such systems. by coupling the surrogate models to the autoencoders, we enable engineers to explore designs taking into account the estimated performance on different domains.","Page 1, Abstract section. First two sentences match exactly: 'we envision a 3D design assistance system for design exploration with performance assessment in the automotive domain. Recent advances in deep learning methods for learning geometric data are a promising step towards realizing such systems.' However, the third sentence about 'coupling the surrogate models to the autoencoders' is not found in the provided excerpt (pages 1-5).",2025-11-07T17:08:02.826016
172,172_Beyond Manual Modeling Automating GUI Model Generation Using Design Documents,"AI Assistance Types (Lee and Kim, 2025)","In this paper, a novel approach named DemGen is proposed to seek a unique pathway for GUI model gene...",Y,1-5,100,EXACT,NONE,"In this paper, a novel approach named DemGen is proposed to seek a unique pathway for GUI model generation. Leveraging design documents, DemGen employs computer vision pre-trained models in conjunction with a rule-based correction mechanism to identify GUI elements and their intended behaviors as defined in those documents. Subsequently, the identified content is transformed into a formal GUI model adhering to the IFML modeling language.","Found in the ABSTRACT section on Page 1. The text appears verbatim with only minor spacing artifacts from PDF extraction (e.g., 'mod elinglanguage' instead of 'modeling language').",2025-11-07T17:08:20.371323
172,172_Beyond Manual Modeling Automating GUI Model Generation Using Design Documents,Data About,"GUI models encapsulate the desired visual appearance and interactive behaviors of applications, faci...",Y,1-5,65,FUZZY,PARAPHRASE,"GUI models encapsulate the desired visual appearance and interactive behaviors of applications, facilitating various downstream tasks like model-based testing (MBT). Leveraging design documents, DemGen employs computer vision pre-trained models in conjunction with a rule-based correction mechanism to identify GUI elements and their intended behaviors as defined in those documents. Corporation S, a large global company whose applications are widely used, provided design documents for four commercial applications.",First two sentences found in Abstract section on page 1 with minor OCR spacing variations. Third sentence about 'Corporation S...provided design documents for four commercial applications' not found in pages 1-5. Section 2 mentions Corporation S as 'globally renowned producer of smart TVs' but not with the exact phrasing in reference text.,2025-11-07T17:08:25.072082
172,172_Beyond Manual Modeling Automating GUI Model Generation Using Design Documents,Design Phase,"In this paper, a novel approach named DemGen is proposed to seek a unique pathway for GUI model gene...",Y,1-5,100,EXACT,NONE,"In this paper, a novel approach named DemGen is proposed to seek a unique pathway for GUI model generation. Leveraging design documents, DemGen employs computer vision pre-trained models in conjunction with a rule-based correction mechanism to identify GUI elements and their intended behaviors as defined in those documents. We implemented DemGen into a tool and successfully integrate it into a real-world industrial environment.","Found in Page 1: First two sentences appear in the ABSTRACT section, third sentence appears in the second bullet point of contributions section",2025-11-07T17:08:27.476265
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,Design Discipline,"In modern industry and smart manufacturing, industries are being reshaped by two forces: the power o...",Y,1-5,100,EXACT,NONE,"In modern industry and smart manufacturing, industries are being reshaped by two forces: the power of crowds and artificial intelligence (AI) represented by large language models (LLMs). Under these two forces, the fields of engineering design and product innovation design are rapidly developing along two paths: crowd intelligence innovation (CII) represented by the Problem–Solution (P-S) Co-evolution Model, and AI-Generated Content (AIGC), which utilizes AI technology to generate content.","Page 1, Introduction section, second paragraph. Text matches word-for-word with only spacing artifacts from PDF extraction and citation numbers [1], [2], [3] added.",2025-11-07T17:08:40.543200
172,172_Beyond Manual Modeling Automating GUI Model Generation Using Design Documents,AI methods,"SAM is a foundational CV model tailored for image segmentation tasks. Trained on massive datasets, i...",N,N/A,0,NONE,NOT_FOUND,"SAM is a foundational CV model tailored for image segmentation tasks. Trained on massive datasets, it has achieved outstanding results in zero-shot image segmentation tasks without re-training or fine-tuning. In our implementation, we utilize the VGG model to extract the embeddings of the GUI screens. VGG is a deep-learning model and is demonstrated wide applicability in various visual tasks.",Searched all 13 pages in 5-page chunks,2025-11-07T17:09:41.008306
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,Data About,"This study extracts the above design concepts from 39,463 patents to form the technical domain set T...",Y,9-13,75,SEMANTIC,PARAPHRASE,"This study extracts the above design concepts from 39,463 patents to form the technical domain set T (|T|=582), the physical structural domain set S (|S|=4420), and the functional domain set F (|F|=24246). Chinese invention patents are selected as the knowledge source, and the relevant data can be downloaded from the Patent Data Service Pilot System of the State Intellectual Property Office.","Both key sentences found in Page 10, section 3.2.1, but NOT consecutive. First sentence about 39,463 patents appears at end of section ('Finally, this study extracts...'), while second sentence about Chinese invention patents appears earlier in same section. Reference text combines them but they are separated by bullet points and other content in the PDF.",2025-11-07T17:09:46.593477
172,172_Beyond Manual Modeling Automating GUI Model Generation Using Design Documents,Design Practice/Task,"GUI models encapsulate the desired visual appearance and interactive behaviors of applications, faci...",N,N/A,0,NONE,NOT_FOUND,"GUI models encapsulate the desired visual appearance and interactive behaviors of applications, facilitating various downstream tasks like model-based testing (MBT). Model-based testing (MBT) is an effective approach for this purpose. MBT uses abstract models to represent the expected behavior of the GUI, helping identify and address issues to maintain high-quality user experiences. For MBT, the test cases are generated automatically from the IFML model.",Searched all 13 pages in 5-page chunks,2025-11-07T17:09:56.659357
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,Design Phase,"This study proposes a method based on design cognition and knowledge reasoning. Firstly, through the...",Y,1-5,100,EXACT,NONE,"This study proposes a method based on design cognition and knowledge reasoning. Firstly, through the problem formulation, a generative universal domain design framework and knowledge base are constructed. Secondly, the knowledge-based discrete physical structure set generation method and system architecture generation method are proposed. Finally, the application tool Intelligent Design Assistant (IDA) is developed, verified, and discussed through an engineering design case.",Found in the Abstract section on Page 1. Text matches exactly with only whitespace/spacing differences due to PDF extraction.,2025-11-07T17:10:05.561300
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,Design Practice/Task,The product concept generation process into two phases: the first phase is responsible for discrete ...,Y,1-5,95,FUZZY,PARAPHRASE,"The product concept generation process into two phases: the first phase is responsible for discrete physical structure reasoning, and the second phase is responsible for physical structure relationship reasoning and interpretation to obtain a complete knowledge of the system architecture.",Found on Page 2. The text matches exactly except the PDF version includes 'this study divides' before 'the product concept generation process into two phases'. The rest of the sentence is word-for-word identical.,2025-11-07T17:10:19.415721
96,96_Product Innovation Design Method Based on BP Neural Network,Design Discipline,"Product design is the core content of industrial design, the materialized embodiment of consumer dem...",Y,1-5,95,EXACT,PARAPHRASE,"Product design is the core content of industrial design, the materialized embodiment of consumer demand, and the material basis for the survival and development of enterprises. Therefore, product innovation design is of great significance to consumers, enterprises, and even the country. By morphological analysis, the sweeping robot is divided into body panel, operation panel, handle, and power button, and subdivided into 11 categories.","First two sentences found in Page 1 Introduction section. The morphological analysis sentence found in Page 4, section 3.2.2. Note: Reference text combines sentences from two separate locations in the paper.",2025-11-07T17:10:25.029314
96,96_Product Innovation Design Method Based on BP Neural Network,Data Modality,"Through e-commerce platform, Internet, magazines, and other channels, 100 perceptual words and 200 i...",Y,1-5,75,FUZZY,PARAPHRASE,"Through e-commerce platform, Internet, magazines, and other channels, 100 perceptual words and 200 images of sweeping robots are collected. Using the card analysis method, three dimensions of texture, personality, and volume are selected to describe the semantics of the sweeping robot. Taking the images in MS-COCO dataset as the content map, the dataset contains 121 class objects, totaling 358,000 images.","Both sentences found on Page 3, but in separate paragraphs. First sentence in 'Construction of Product Semantics and Attribute Space' section, second sentence in the training parameters section. Reference text combines them as consecutive sentences when they are actually separated in the original PDF.",2025-11-07T17:10:44.208044
96,96_Product Innovation Design Method Based on BP Neural Network,Data About,Product modeling is decomposed into design elements by morphological analysis to establish product a...,Y,1-5,85,FUZZY,PARAPHRASE,"Product modeling is decomposed into design elements by morphological analysis to establish product attribute space. By morphological analysis, the sweeping robot is divided into body panel, operation panel, handle, and power button, and subdivided into 11 categories. Product attribute space focuses on the modeling semantics of products.","Text found across two sections: first sentence on Page 2 (section 2.2 KENPI Method), second and third sentences on Page 3 (section 3.2.2 Construction of Product Semantics). Minor OCR spacing errors throughout.",2025-11-07T17:10:48.149814
96,96_Product Innovation Design Method Based on BP Neural Network,AI methods,"KENPI method combines the theories of Kansei engineering, convolutional neural network, and neural s...",Y,1-5,99,EXACT,NONE,"KENPI method combines the theories of Kansei engineering, convolutional neural network, and neural style transfer, and establishes a mapping model between product modeling elements and product semantics. Convolutional neural network and neural style transfer model are used to extract, reconstruct, and integrate the color features of style diagrams, and transfer them to product modeling to design new product images.","Found in Page 1, in the abstract section. The text appears word-for-word with only minor OCR spacing errors (e.g., 'methodcombinesthe' instead of 'method combines the').",2025-11-07T17:11:00.068055
96,96_Product Innovation Design Method Based on BP Neural Network,Design Phase,"Convolutional neural network and neural style transfer model are used to extract, reconstruct, and i...",Y,1-5,98,FUZZY,OCR_ERROR,"Convolutional neural network and neural style transfer model are used to extract, reconstruct, and integrate the color features of style diagrams, and transfer them to product modeling to design new product images.","Found in Page 1, abstract section. Text matches with minor OCR spacing errors (missing spaces in 'transfermodel', 'thecolorfeatures', 'stylediagrams', 'toproduct')",2025-11-07T17:11:13.269329
96,96_Product Innovation Design Method Based on BP Neural Network,"AI Assistance Types (Lee and Kim, 2025)","In this paper, a generative product design method, KENPI method, is proposed, which mainly includes ...",Y,1-5,85,SEMANTIC,PARAPHRASE,"In this paper, a generative product design method, KENPI method, is proposed, which mainly includes mapping model construction, style transfer model construction, and transfer result analysis. BP neural network is used to construct the nonlinear mapping model of product modeling element space and product perceptual semantic space. The trained model is used to predict the product semantics in content maps and guide the selection of style maps. A generative innovative design method of KENPI products is proposed, which can automatically identify, extract, and reconstruct the content and color features of images, and transfer them to the product modeling in the content map to realize the real-time generation of new product images.","Reference text is a compilation of sentences from multiple locations: Page 2 Section 2.2 contains the KENPI method description with mapping model and BP neural network details, and Page 5 Conclusion section contains the automatic identification/extraction description. All content exists but scattered across different sections, not as a continuous quote.",2025-11-07T17:11:20.936596
96,96_Product Innovation Design Method Based on BP Neural Network,Design Practice/Task,"In this paper, a generative product design method, KENPI method, is proposed, which mainly includes ...",Y,1-5,95,FUZZY,OCR_ERROR,"In this paper, a generative product design method, KENPI method, is proposed, which mainly includes mapping model construction, style transfer model construction, and transfer result analysis. The color features of images are reconstructed and integrated, and then transferred to product modeling, so as to generate new products with both content image modeling features and style image color features, which brings visual inspiration to users.","Found in two locations: First sentence in Page 2 Section 2.2 'KENPI Method', second sentence in Page 1 Abstract. Minor OCR spacing issue: 'resultanalysis' should be 'result analysis'.",2025-11-07T17:11:34.302261
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,Data Modality,Knowledge-based design (KBD) combined with design cognition (DC) mostly utilizes data sources in the...,N,N/A,0,NONE,NOT_FOUND,"Knowledge-based design (KBD) combined with design cognition (DC) mostly utilizes data sources in the form of natural language text. In this study, Chinese invention patents are selected as the knowledge source, and the relevant data can be downloaded from the Patent Data Service Pilot System of the State Intellectual Property Office. In this study, the full text of patent text is utilized to train the Skip-gram model so as to obtain the contextual semantic vectors of all the relevant knowledge elements.",Searched all 34 pages in 5-page chunks,2025-11-07T17:12:10.231559
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,"AI Assistance Types (Lee and Kim, 2025)","ConceptTM, a generative reasoning method, can perform Bayesian reasoning according to the given tech...",Y,21-25,100,EXACT,NONE,"ConceptTM, a generative reasoning method, can perform Bayesian reasoning according to the given technical field and function to obtain the qualified physical set; G-Designer, a generative reasoning method, can mine their hierarchical relationships based on a given physical set to generate the design of the product architecture.","Found on page 22/23 in the IDA system dialog interface, appearing as items 3 and 4 in a numbered list describing four unique reasoning abilities. The text matches word-for-word.",2025-11-07T17:12:10.824800
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,AI methods,"Based on the topic model, a statistical model widely used in semantic analysis and text mining, Conc...",N,N/A,0,NONE,NOT_FOUND,"Based on the topic model, a statistical model widely used in semantic analysis and text mining, ConceptTM, is proposed to generate a set of physical structures containing implicit connections for a given technical field and functional requirements. ConceptTM adopts the PGM, especially the infrastructure of the topic model, to systematically express the complex and implicit correlations among physical structures. The modeling thinking of the probabilistic topic model is to regard the text as the probability distribution of the topic; that is, each text is composed of several topics, and the topic is regarded as the probability distribution of words.",Searched all 34 pages in 5-page chunks,2025-11-07T17:12:31.109521
