Index,Category,Classification,Enum_Valid,Claude_Score,Claude_Level,Claude_Comment,Issues
128,Data About,Product,False,5,high,"**5/5** - Reference Text가 PDF Introduction 섹션에 정확히 존재하며, 논문이 마스크 제품 속성(fit, comfort, quality 등)을 분석하므로 ""Product"" 분류가 타당함",ENUM_INVALID
128,Data Modality,Text,True,5,high,"**5/5 - Reference Text가 PDF의 Materials and Methods 및 Results 섹션에 정확히 존재하며, Text 분류가 온라인 리뷰 텍스트 데이터 분석과 완벽히 일치함**",NONE
128,AI methods,Traditional ML (shallow models),True,5,high,"5/5 - Reference Text가 PDF 본문에 정확히 존재하며, LDA와 GBT 모두 Traditional ML로 분류가 정확함",NONE
128,"AI Assistance Types (Lee and Kim, 2025)","Multiple [Prediction, Sense making, Decision making (Validation, evaluation)]",True,5,high,"**5/5 - Reference Text가 PDF 본문에 정확히 존재하며, Multiple 분류가 타당함**

세 가지 AI 역할이 명확히 구분됨:
- Prediction: GBT 모델의 별점 예측
- Sense making: LDA 토픽 모델링 + SHAP 해석
- Decision making: 제품 개선 의사결정 지원

Reference 인용도 정확하고",NONE
128,Design Phase,Define,True,5,high,"5/5 - Reference Text가 Introduction과 본문에 정확히 존재하며, 사용자 요구사항 식별 목적으로 Define 단계 분류가 적절함",NONE
128,Design Practice/Task,Define - User requirements identification and product attribute analysis,False,3,medium,"3/5 - Reference는 PDF Introduction에 정확히 존재하지만, 이 논문은 Define 단계를 **지원하는 방법론**을 개발하는 연구이지, 실제 제품 디자인의 Define 단계를 수행하는 것은 아님. ""Develop - Method/Tool development for design support""가 더 정확한 분류일 것 같습니다.",ENUM_INVALID
87,Design Discipline,Industrial Design/ Engineering design/ product design,True,5,high,"5/5 - Reference Text가 PDF의 Abstract, Introduction, Section 4에서 정확히 인용되었고, Classification과 Reasoning이 논문 내용(CAD/FEM 기반 기계부품 설계 자동화)과 완벽히 일치함",NONE
87,Data About,Product,False,5,high,"**5/5 - Reference Text가 PDF Section 4에 정확히 존재하며, Product 분류가 자전거 부품 디자인 사례와 완벽히 일치함**",ENUM_INVALID
87,Data Modality,Time Series,True,3,medium,"3/5 - Reference는 PDF에 정확히 존재하나, ""Time Series""보다는 ""Numerical/Parametric"" 데이터가 더 적합. RL의 시간 단계는 최적화 과정의 순차적 조정이지 시계열 데이터 분석은 아님.",NONE
87,AI methods,Reinforcement learning,True,5,high,"5/5 - Reference Text가 PDF Abstract와 Section 2에 정확히 존재하며, 논문 제목부터 ""Reinforcement Learning for Engineering Design Automation""으로 분류가 완벽히 일치함",NONE
87,"AI Assistance Types (Lee and Kim, 2025)","Multiple [Design generation, Decision making (Validation, evaluation)]",True,5,high,"**5/5 - Reference Text가 PDF Section 3에 정확히 존재하며, Design generation과 Decision making/Validation 기능이 명확히 기술됨**

검증 결과:
1. ✓ Reference의 모든 문장이 PDF Section 3 ""Method""에 정확히 존재
2. ✓ ""modifying geometric par",NONE
87,Design Phase,Develop,True,5,high,"5/5 - Reference Text가 PDF Introduction에 정확히 존재하며, 논문의 CAD 파라미터 최적화 자동화는 명백히 Develop 단계에 해당함",NONE
87,Design Practice/Task,Develop,False,5,high,"5/5 - Reference Text가 PDF Introduction과 Section 3에 정확히 존재하며, ""detailing of geometric parameters"" 표현이 Develop(상세 설계) 단계를 명확히 지지함",ENUM_INVALID
182,Design Discipline,Industrial Design/ Engineering design/ product design,True,5,high,"**5/5 - Reference Text가 PDF Abstract에 문자 그대로 정확히 존재하며, Stanford Center for Design Research (Mech. Eng. Dept) 소속 및 engineering design problem solving 초점이 분류와 완벽히 일치함**",NONE
182,Data About,Behavior,False,5,high,"5/5 - Reference Text가 PDF Section 3.1-3.2에 정확히 존재하며, chat/transcript 데이터를 ""Behavior""로 분류한 것이 타당함",ENUM_INVALID
182,Data Modality,Text,True,5,high,"**5/5 - Reference Text가 PDF Section 3.1에 정확히 존재하며, Classification과 Reasoning이 완벽하게 일치함**

Reference Text는 PDF의 ""3.1 Voice/text assistant data"" 섹션에 문자 그대로 존재하고, 논문 전체가 텍스트 transcript 데이터(Ubuntu 채팅, 디자인",NONE
182,AI methods,Deep models in NLP,True,5,high,"**5/5 - Reference Text가 PDF Section 3.2에 정확히 존재하며, LSTM 기반 텍스트 생성이 Deep NLP 분류와 완벽히 일치함**",NONE
182,"AI Assistance Types (Lee and Kim, 2025)","Multiple [Design generation, Sense making]",True,5,high,"**5/5 - Reference Text가 PDF Abstract에 정확히 존재하고, Classification과 Reasoning이 논리적으로 일치함**

검증 결과:
1. ✅ Reference Text는 Abstract에 **문자 그대로 존재**
2. ✅ ""Design generation"" (제안 생성) + ""Sense making"" (발산적 탐색으로 ",NONE
182,Design Phase,Develop,True,3,medium,"**3/5 - Reference는 Abstract에 정확히 존재하나, Classification이 부정확함**

코멘트:
- ✓ Reference Text는 PDF Abstract에 거의 정확히 존재 (ideageneration 띄어쓰기만 다름)
- ✗ ""idea generation"", ""divergent thinking"", ""conceptual desig",NONE
182,Design Practice/Task,Ideation/Idea Generation,False,5,high,"**5/5 - Reference Text가 PDF ""2 RELATED WORK"" 섹션에 정확히 존재하며, ""collaborative idea generation"" 표현이 Classification과 완벽히 일치함**",ENUM_INVALID
