index,title,assigned_to,pdf_found,decision,reason,ai_method_found,design_task,has_empirical_study,sheets_updated,error,timestamp
139,A Generative Deep Learning Approach for Improving the Mechanical Performance of Structural Components,J,True,Y,"GAN directly generates 3D structural component designs with improved mechanical properties. This is direct design output generation, not just analysis.",Generative Adversarial Network (GAN),3D structural component generation and optimization,True,True,,2025-10-15T13:03:53.589142
141,"Intelligent RFQ Summarization Using Natural Language Processing, Text Mining, and Machine Learning Techniques",J,True,N,"AI performs document summarization and specification extraction from RFQs, not direct design tasks. The system helps engineers understand requirements faster, but does not generate, optimize, or create design outputs.","K-means, TextRank, TF-IDF, Word-embedding",None,True,False,,2025-10-15T13:04:27.694998
143,Plan-Based Derivation of General Functional Structures in Product Design,J,True,Y,"AI planning algorithms with logic-based solvers directly compute and generate functional structures for product design, which is a core design support task, not just analysis.",Logic-based planning solvers,Functional structure generation and decomposition for product design,True,True,,2025-10-15T13:04:59.350215
144,Machine learning for topology optimization: Physics-based learning through an independent training strategy,J,True,Y,"The AI (CNN with residual links) directly performs topology optimization, which generates and optimizes structural designs for engineering applications. This is a direct design task, not just analysis.",Convolutional Neural Network (CNN) with residual links,Topology optimization for structural/engineering design - generating optimized structural layouts,True,True,,2025-10-15T13:05:43.057087
145,Decision-Making with Probabilistic Reasoning in Engineering Design,J,True,Y,"The paper uses Bayesian networks and decision networks to directly support engineering design decision-making, helping designers select optimal design alternatives under uncertainty and assess product robustness.","Bayesian networks, decision networks",Engineering design decision-making and product robustness optimization,True,True,,2025-10-15T13:06:16.202513
146,Deep learning-based surrogate modeling via physics-informed artificial image (PiAI) for strongly coupled multidisciplinary engineering systems,J,True,N,"The AI creates surrogate models for predicting system behavior and replacing expensive simulations. While this enables faster analysis that can inform design decisions, the AI does not directly generate, optimize, or create design outputs—it only predicts system responses.",CNN (Convolutional Neural Network),None,True,False,,2025-10-15T13:07:01.092269
147,SplineLearner: Generative learning system of design constraints for models represented using B-spline surfaces,J,True,N,"While the AI directly supports generative design tasks by learning design constraints and predicting design validity, no specific AI/ML algorithm is mentioned in the provided excerpt - only generic terms like 'machine learning' and 'generative learning process' appear.",None,Generative design of CAD models with learned constraint validation,True,False,,2025-10-15T13:07:48.355928
148,Integrating and navigating engineering design decision-related knowledge using decision knowledge graph,J,True,N,"AI only provides indirect support by helping designers search and navigate knowledge/information. It does not directly generate, optimize, or create design outputs - only assists in information retrieval for decision preparation.",None,None,True,False,,2025-10-15T13:08:36.508383
149,The form of AI-driven luxury: how generative AI (GAI) and Large Language Models (LLMs) are transforming the creative process,J,True,Y,GAI and LLMs directly design new luxury products. The paper evaluates consumer perceptions of AI-generated product designs through empirical studies.,"Generative AI (GAI), Large Language Models (LLMs)",Luxury product design,True,True,,2025-10-15T13:09:07.600621
150,Configuration-Based Smart Customization Service: A Multitask Learning Approach,J,True,Y,"AI directly supports design tasks by mapping customer needs (natural language) to product specifications in the design stage using ELMo and multitask learning neural networks, generating product configurations as design outputs.","ELMo (Embeddings from Language Models), multitask learning neural network, deep bidirectional language model",Product configuration and specification generation from customer requirements,True,True,,2025-10-15T13:09:39.127237
152,Digital servitization of symbiotic service composition in product-service systems,J,True,N,"No specific AI/ML method is mentioned (only generic 'machine learning' and 'computational algorithms'), and the AI performs service composition/selection optimization rather than directly supporting design tasks.",None,None,True,False,,2025-10-15T13:10:11.661866
153,Collaborative Decision-Making Assistant for Healthcare Professionals: A Human-Centered AI Prototype Powered by Azure Open AI,J,True,N,"AI assists healthcare professionals in making treatment decisions (clinical decision support), not in creating, generating, or optimizing design outputs. The 'design' mentioned refers to the design of the AI system itself, not design task support.",Azure OpenAI (GPT),None,False,False,,2025-10-15T13:10:37.879936
155,Impaction of Artificial Intelligence on Interaction Design,J,True,N,The title 'Impact of AI on Interaction Design' suggests a survey/analysis of AI's influence on the field rather than AI directly performing design tasks. No specific AI method is clearly identified in the provided content.,None,None,False,False,,2025-10-15T13:11:04.319256
156,PIKAR: A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design,J,True,N,"The AI predicts and analyzes human perception (Kansei/kawaii) of existing designs but does not directly generate, optimize, or recommend design solutions. It provides insights to support designers rather than directly producing design outputs.",Deep Learning (Neural Networks),None,True,False,,2025-10-15T13:11:38.393815
157,User Experience Design Professionals' Perceptions of Generative Artificial Intelligence,J,True,N,"This is a qualitative interview study examining UX designers' perceptions of GenAI tools, not a system where AI directly performs design tasks. The paper analyzes human opinions about AI rather than demonstrating AI creating or optimizing designs.","GPT-3, BERT, DALL-E, transformer-based models",None,True,False,,2025-10-15T13:12:19.021066
158,A Novel User Emotional Interaction Design Model Using Long and Short-Term Memory Networks and Deep Learning,J,True,N,"The AI performs emotion recognition from speech to provide insights for interaction design, but does not directly generate, optimize, or create design outputs. The design tasks remain separate from the AI's emotion classification function.",LSTM (Long Short-Term Memory Network),None,True,False,,2025-10-15T13:12:49.023934
159,Will artificial intelligence platforms replace designers in the future? analyzing the impact of artificial intelligence platforms on the engineering design industry through color perception,J,True,N,"This paper analyzes the IMPACT of AI platforms on designers through color perception studies, rather than demonstrating AI directly performing design tasks. K-means is used for research data analysis, not design generation.",K-means clustering,None,True,False,,2025-10-15T13:13:23.556590
161,Exploring the Potential of Chatbots,J,True,N,"This paper is about designing a chatbot service for sustainable tourism behavior change. The AI (chatbot) is the object being designed, not a tool that performs or supports design tasks. The chatbot's function is to nudge tourist behavior, not to create, generate, or optimize design outputs.","Generative Conversational AI (too generic, no specific model specified)",None,True,False,,2025-10-15T13:13:56.698866
162,"Designing Age-Inclusive Interfaces: Emerging Mobile, Conversational, and Generative AI to Support Interactions across the Life Span",J,True,N,"This is a workshop paper about designing age-inclusive conversational AI interfaces for older adults, not about AI that directly performs or supports design tasks. It discusses research needs rather than presenting an AI system that generates or optimizes designs.",None,None,False,False,,2025-10-15T13:14:29.581194
163,The artistic design of user interaction experience for mobile systems based on context-awareness and machine learning,J,True,N,"AI performs content recommendation (music, cultural heritage) to users, not direct design generation or optimization. The system recommends what content to show users, but does not create, generate, or optimize design outputs like UI layouts or interaction patterns.",Tensor decomposition,None,True,False,,2025-10-15T13:15:02.465019
164,ITIU: Intention Understanding via Interactive Table in Large Language Models,J,True,N,"This paper focuses on improving LLMs' intention understanding in conversations through interactive tables. The AI does not directly create, generate, or optimize design outputs; it only enhances natural language understanding.","Large Language Models (LLMs: GPT, LLaMA, ChatGLM, Mistral)",None,True,False,,2025-10-15T13:15:33.754712
165,CUI@CHI: Mapping Grand Challenges for the Conversational User Interface Community,J,True,N,"This is a workshop proposal paper discussing grand challenges in CUI research. It does not present any AI system that directly supports design tasks, only discusses the field and research community.",None,None,False,False,,2025-10-15T13:16:04.898042
166,Combining a Universal OBD-II Module with Deep Learning to Develop an Eco-Driving Analysis System,J,True,N,"The deep learning system analyzes driving data and evaluates fuel consumption, while the GUI design is a separate presentation layer for displaying analysis results. The AI does not directly generate, optimize, or assist in creating design outputs.",Deep Learning,None,True,False,,2025-10-15T13:16:32.593087
167,Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,J,True,Y,"The DNN-GA model directly optimizes HMI interface parameters for electric vehicles by integrating BCI-based neural network predictions with genetic algorithm optimization, constituting direct design support for interaction design tasks.","Deep Neural Networks (DNN), Genetic Algorithms (GA), Support Vector Machines (SVM), Decision Trees (DT), Particle Swarm Optimization (PSO)",HMI interface optimization for intelligent electric vehicles,True,True,,2025-10-15T13:17:03.388930
168,Empirical Evidence on Conversational Control of GUI in Semantic Automation,J,True,N,"The LLM provides conversational control of an existing UI rather than directly creating, generating, or optimizing design outputs. The AI enables natural language interaction with a system, but does not perform design tasks itself.",Large Language Model (LLM),None,True,False,,2025-10-15T13:17:47.412971
170,APPLICATION OF AR VIRTUAL IMPLANTATION TECHNOLOGY BASED ON DEEP LEARNING AND EMOTIONAL TECHNOLOGY IN THE CREATION OF INTERACTIVE PICTURE BOOKS,J,True,N,"The AI performs emotion recognition and analysis of picture book images, but does not directly create, generate, or optimize the actual picture book designs. It provides analytical insights rather than design outputs.",Deep Neural Network,None,True,False,,2025-10-15T13:18:24.551004
171,A training and assessment system for human-computer interaction combining fNIRS and eye-tracking data,J,True,N,"The AI classifies cognitive load levels based on physiological signals (fNIRS and eye-tracking) but does not directly generate, optimize, or create HCI design outputs. It provides assessment insights that could inform design decisions, which is indirect support only.",None,None,True,False,,2025-10-15T13:18:54.598211
172,Beyond Manual Modeling: Automating GUI Model Generation Using Design Documents,J,True,N,"The AI generates formal GUI models for software testing (MBT), not design outputs. It analyzes existing design documents to create testing models rather than directly supporting design creation or optimization.",Computer vision pre-trained models,None,True,False,,2025-10-15T13:19:27.500301
173,Exploring the impact of integrated design on employee learning engagement in the ubiquitous learning context: A deep learning-based hybrid multistage approach,J,True,N,"AI (neural networks) is used only to analyze the statistical relationship between design elements and learning engagement, not to directly generate, optimize, or assist in creating design outputs.","Artificial Neural Networks (ANN), Deep Learning",None,True,False,,2025-10-15T13:19:57.665091
174,(Re-)connecting with Nature in Urban Life: Engaging with Wildlife via AI-powered Wearables,J,True,N,"The AI is used for bird chirping sound recognition and species identification to engage users with wildlife, not for supporting design tasks. This is an interaction design paper about designing a wearable system, but the AI component does not directly create, generate, or optimize design outputs.",None,None,False,False,,2025-10-15T13:20:26.795762
175,Society sync - Digitalize society management systems with artificial intelligence technologies,J,True,N,"AI is used for society management functions (OCR, face recognition, log tracking) and to analyze user reactions to UI elements. However, it does not directly generate, create, or optimize design outputs - only provides analytical insights.","OCR, Face Recognition",None,False,False,,2025-10-15T13:20:58.382734
176,User Feedback Design in AI-Driven Mood Tracker Mobile Apps,J,True,N,"No specific AI/ML method is mentioned (only generic 'AI-driven' terms), and the AI does not directly perform design tasks. Human designers create the feedback mechanisms and UI for AI-driven apps, rather than AI generating or optimizing designs.",None,None,True,False,,2025-10-15T13:21:30.794508
177,Boundary-Aware Supervoxel-Level Iteratively Refined Interactive 3D Image Segmentation With Multi-Agent Reinforcement Learning,J,True,N,"AI performs medical image segmentation for diagnosis and treatment planning, which is an analysis task, not a design task. The AI does not create, generate, or optimize any design outputs.",Multi-Agent Reinforcement Learning,None,True,False,,2025-10-15T13:22:00.497300
178,AI driven human-computer interaction design framework of virtual environment based on comprehensive semantic data analysis with feature extraction,J,True,N,No specific AI/ML method explicitly mentioned (only generic 'AI' and 'data analysis'). The abstract is vague about whether AI directly generates/optimizes interaction designs or only provides analytical framework.,None,None,False,False,,2025-10-15T13:22:28.422435
179,Conversations in the Cloud: Crafting Harmony in AliCloud Computing Interaction Design,J,True,N,"The paper is about designing AI-powered conversational interfaces for cloud services, not about AI performing design tasks. The AI is a component of the system being designed, not a tool that supports design work. No specific AI/ML method is mentioned.",None,None,False,False,,2025-10-15T13:22:58.070796
180,Vehicle Multi-sensory User Interaction Design Research Based on MINDS Methods,J,True,N,"AI technologies (speech/gesture recognition) are the subject being designed FOR, not the tool performing design. No specific AI/ML method mentioned beyond generic terms.",None,None,False,False,,2025-10-15T13:23:30.599878
181,GANSpiration: Balancing Targeted and Serendipitous Inspiration in User Interface Design with Style-Based Generative Adversarial Network,J,True,Y,"The AI (Style-based GAN) directly generates and suggests UI design examples that serve as inspiration for designers' creative work, producing design outputs that practitioners use for design concepts and elements.",Style-based Generative Adversarial Network (StyleGAN),UI design example generation and suggestion,True,True,,2025-10-15T13:24:01.840638
182,Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive Text/Voice Artificial Intelligence (AI) Agent,J,True,Y,"The AI directly supports design tasks by providing real-time suggestions during ideation and problem-solving to aid designers in collaborative design work. This is direct design assistance, not just analysis.",Convolutional Neural Networks (CNN),Real-time design ideation assistance and collaborative problem-solving suggestion,True,True,,2025-10-15T13:24:33.792388
183,Machine Learning Based User Interface Generation,J,True,Y,AI directly automates UI code generation by converting design mockups/sketches into functional HTML code using CNNs to identify and structure UI components.,Convolutional Neural Networks (CNN),UI code generation from design mockups,False,True,,2025-10-15T13:25:08.195456
184,Interaction Design With Multi-Objective Bayesian Optimization,J,True,Y,AI directly supports interaction design by using multi-objective Bayesian optimization to intelligently propose and optimize design configurations for a tactile display on smartwatches. The AI actively assists designers in exploring the design space and making design parameter decisions.,Multi-objective Bayesian Optimization,Tactile display design and parameter optimization for smartwatches,True,True,,2025-10-15T13:25:39.540731
185,A Checklist for the Usability Evaluation of Artificial Intelligence (AI) mHealth Applications Graphical User Interface,J,True,N,"This paper develops a usability evaluation checklist for AI mHealth apps, not AI that directly supports design tasks. The AI is the subject being evaluated, not a tool performing design work.",None,None,True,False,,2025-10-15T13:26:11.355164
186,User emotion recognition and indoor space interaction design: a CNN model optimized by multimodal weighted networks,J,True,N,"The AI performs visual emotion recognition to understand user responses, but does NOT directly create, generate, or optimize interior designs. This is indirect support - designers must separately create designs based on emotion insights.",CNN (Convolutional Neural Network) with self-attention mechanism and multimodal weighting network,None,True,False,,2025-10-15T13:26:39.972233
187,AN EEG-BASED EMOTION RECOGNITION MODEL USING AN INTERACTION DESIGN FRAMEWORK AND DEEP LEARNING,J,True,N,"The AI performs emotion recognition from EEG data, which only indirectly informs design decisions. The AI does not directly create, generate, or optimize design outputs.",GAN (Generative Adversarial Network),None,True,False,,2025-10-15T13:27:09.431928
189,The Application of Deep Learning for the Evaluation of User Interfaces,J,True,Y,"The CNN-based model directly supports UI design tasks by automatically evaluating and ranking interface designs, providing designers with actionable benchmarks for selecting the most user-friendly and effective designs.",Convolutional Neural Network (CNN),UI design evaluation and selection support,True,True,,2025-10-15T13:27:42.275433
