index,title,assigned_to,pdf_found,decision,reason,ai_method_found,design_task,has_empirical_study,sheets_updated,error,timestamp
144,Machine learning for topology optimization: Physics-based learning through an independent training strategy,J,True,Y,"The AI (CNN with residual links) directly performs topology optimization, generating optimized structural designs and material distribution layouts for engineering applications. This is direct design task support, not merely analysis.",Convolutional Neural Network (CNN) with residual links,Topology optimization for structural design (generating optimal material distributions),True,True,,2025-10-15T14:17:40.501505
145,Decision-Making with Probabilistic Reasoning in Engineering Design,J,True,N,"The AI (Bayesian networks, decision networks) provides decision support and uncertainty analysis to inform design choices, but does not directly generate, optimize, or create design outputs. It offers indirect support through probabilistic reasoning rather than direct design task execution.","Bayesian networks, decision networks",None,True,True,,2025-10-15T14:18:12.067455
146,Deep learning-based surrogate modeling via physics-informed artificial image (PiAI) for strongly coupled multidisciplinary engineering systems,J,True,Y,"CNN-based surrogate model directly supports engineering design tasks by evaluating design parameters and predicting system responses, enabling rapid design optimization and decision-making for multidisciplinary engineering systems.",CNN (Convolutional Neural Network),Engineering design parameter evaluation and optimization for multidisciplinary systems,True,True,,2025-10-15T14:18:50.902846
147,SplineLearner: Generative learning system of design constraints for models represented using B-spline surfaces,J,True,N,"While AI directly supports design tasks through generative design and constraint learning, no specific AI/ML method is explicitly mentioned in the provided pages—only generic terms like 'machine learning' and 'mathematical model'.",None,Generative CAD design with constraint learning,True,True,,2025-10-15T14:19:25.035547
148,Integrating and navigating engineering design decision-related knowledge using decision knowledge graph,J,True,N,"AI only provides indirect support through information retrieval and knowledge navigation. It does not directly generate, optimize, or create design outputs, but rather helps designers find relevant information for decision-making.",Natural Language Processing,None,True,True,,2025-10-15T14:20:02.691098
149,The form of AI-driven luxury: how generative AI (GAI) and Large Language Models (LLMs) are transforming the creative process,J,True,Y,"GAI and LLMs directly design luxury products. The study evaluates consumer perceptions of AI-generated product designs, where AI performs the actual creative design work.","Large Language Models (LLMs), Generative AI (GAI)",Luxury product design,True,True,,2025-10-15T14:20:34.906342
150,Configuration-Based Smart Customization Service: A Multitask Learning Approach,J,True,Y,"AI directly supports design tasks by mapping customer needs in natural language to product specifications and configurations in the design stage, automating the product customization process.","ELMo (Embeddings from Language Models), multitask learning neural network, deep bidirectional language model",Product specification and configuration generation from customer requirements,True,True,,2025-10-15T14:21:12.233461
152,Digital servitization of symbiotic service composition in product-service systems,J,True,N,"The paper uses AI for optimizing service selection and composition in manufacturing systems, which is an operational optimization task rather than directly creating or supporting design outputs. No specific AI/ML method is explicitly named (only generic 'machine learning' and 'operations research').",None,None,True,True,,2025-10-15T14:21:42.833906
153,Collaborative Decision-Making Assistant for Healthcare Professionals: A Human-Centered AI Prototype Powered by Azure Open AI,J,True,N,"The AI supports medical treatment decision-making for healthcare professionals, not design tasks. The 'design' mentioned refers to the human-centered design OF the AI system itself, not AI performing design activities.",Azure OpenAI (GPT/LLM),None,False,True,,2025-10-15T14:22:18.824988
155,Impaction of Artificial Intelligence on Interaction Design,J,True,N,The paper title suggests it discusses AI's impact on interaction design rather than presenting AI that directly performs or supports design tasks. No specific AI/ML method clearly identified from visible content.,None,None,False,True,,2025-10-15T14:22:53.217240
156,PIKAR: A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design,J,True,N,"The AI predicts user perception (kawaii ratings) of existing product designs but does not directly create, generate, or optimize designs. It provides analysis/insights rather than direct design output.","Deep learning, neural networks",None,True,True,,2025-10-15T14:23:31.349470
157,User Experience Design Professionals' Perceptions of Generative Artificial Intelligence,J,True,N,"This is a qualitative research study exploring UX designers' perceptions and attitudes toward GenAI tools, not a study where AI directly performs or supports design tasks. The paper focuses on what designers think about AI, not on AI creating/optimizing designs.","GPT-3, BERT, DALL-E, Stable Diffusion, Midjourney",None,True,True,,2025-10-15T14:24:13.661742
158,A Novel User Emotional Interaction Design Model Using Long and Short-Term Memory Networks and Deep Learning,J,True,N,"The AI performs emotion recognition from speech using LSTM, which provides insights to inform interaction design but does not directly generate, optimize, or create design outputs. The system recognizes emotions as input for design decisions rather than directly performing design tasks.","LSTM (Long and Short-Term Memory Networks), Deep Learning, Self-attention mechanism",None,True,True,,2025-10-15T14:24:48.617476
159,Will artificial intelligence platforms replace designers in the future? analyzing the impact of artificial intelligence platforms on the engineering design industry through color perception,J,True,N,"The AI (K-means clustering) is used to analyze color perception data and survey responses, not to directly generate, optimize, or assist in creating design outputs. This is a perception study about AI's impact on designers.",K-means clustering,None,True,True,,2025-10-15T14:25:27.854896
161,Exploring the Potential of Chatbots,J,True,N,"This paper is about designing a chatbot service for behavioral nudging, not about AI directly performing or supporting design tasks. The chatbot nudges tourists toward sustainable behaviors rather than creating, optimizing, or assisting in design outputs.",None,None,True,True,,2025-10-15T14:26:02.547308
162,"Designing Age-Inclusive Interfaces: Emerging Mobile, Conversational, and Generative AI to Support Interactions across the Life Span",J,True,N,"This is a workshop proposal paper that discusses designing interfaces FOR conversational AI systems (chatbots, voice assistants), not a study where AI directly performs or supports design tasks. No empirical study or AI-based design system is presented.",LLMs,None,False,True,,2025-10-15T14:26:37.126861
163,The artistic design of user interaction experience for mobile systems based on context-awareness and machine learning,J,True,N,"The AI performs content recommendation (recommending music/art to users), not direct design tasks. The system recommends what content to display, but does not create, generate, or optimize the design of user interfaces or interactive experiences.",Tensor decomposition,None,True,True,,2025-10-15T14:27:12.863459
164,ITIU: Intention Understanding via Interactive Table in Large Language Models,J,True,N,"The paper focuses on improving intention understanding mechanisms in LLMs through interactive tables, which is about designing better AI conversation systems rather than using AI to directly support design tasks. Falls under 'design of AI systems' which should be excluded.","Large Language Models (LLMs): GPT, LLaMA, ChatGLM, Mistral",None,True,True,,2025-10-15T14:27:48.517430
165,CUI@CHI: Mapping Grand Challenges for the Conversational User Interface Community,J,True,N,"This is a workshop proposal focused on mapping research challenges in CUI design. No specific AI method is described, and no AI system directly performs or supports design tasks—it's a meta-discussion about the research community.",None,None,False,True,,2025-10-15T14:28:20.402897
166,Combining a Universal OBD-II Module with Deep Learning to Develop an Eco-Driving Analysis System,J,True,N,"The deep learning is used to analyze and evaluate fuel consumption, not to directly support design tasks. The GUI mentioned is a human-created interface to display AI analysis results, not a design output generated or optimized by AI.",Deep Learning,None,True,True,,2025-10-15T14:28:53.535533
167,Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,J,True,Y,"The DNN-GA model directly optimizes HMI interface parameters for intelligent electric vehicles. The genetic algorithm optimization combined with neural network predictions is used to enhance and optimize the control interface design, which constitutes direct design task support.","Deep Neural Networks (DNN), Genetic Algorithms (GA), Support Vector Machines (SVMs), Decision Trees (DT), Particle Swarm Optimization (PSO)",HMI (Human-Machine Interface) optimization and interaction design for electric vehicles,True,True,,2025-10-15T14:29:32.764684
168,Empirical Evidence on Conversational Control of GUI in Semantic Automation,J,True,N,"The AI provides conversational control and manipulation of an existing UI but does not directly generate, create, or optimize design outputs. This is interaction/control mechanism rather than AI-assisted design generation.",Large Language Model (LLM),None,True,True,,2025-10-15T14:30:15.648756
170,APPLICATION OF AR VIRTUAL IMPLANTATION TECHNOLOGY BASED ON DEEP LEARNING AND EMOTIONAL TECHNOLOGY IN THE CREATION OF INTERACTIVE PICTURE BOOKS,J,True,N,"The AI analyzes and recognizes emotions in existing picture book images rather than directly generating, optimizing, or creating the design content itself. This is indirect support (providing emotional insights) rather than direct design task performance.",Deep Neural Network,None,True,True,,2025-10-15T14:31:18.400671
171,A training and assessment system for human-computer interaction combining fNIRS and eye-tracking data,J,True,N,"AI only assesses cognitive load through physiological data analysis, providing insights that could inform HCI design decisions. It does not directly create, generate, or optimize design outputs. Additionally, no specific AI/ML method is identified in the provided text.",None,None,True,True,,2025-10-15T14:31:56.297464
172,Beyond Manual Modeling: Automating GUI Model Generation Using Design Documents,J,True,N,"AI automates GUI model generation for testing purposes, not design creation. It processes existing design documents as input to create formal testing models, rather than directly supporting or producing design outputs.",Computer vision pre-trained models,None,True,True,,2025-10-15T14:32:32.450117
173,Exploring the impact of integrated design on employee learning engagement in the ubiquitous learning context: A deep learning-based hybrid multistage approach,J,True,N,"AI (artificial neural networks, deep learning) is used as a research methodology to analyze relationships between design variables and learning engagement, NOT to directly create, generate, or optimize design outputs. The AI analyzes survey data rather than performing design tasks.","Artificial Neural Networks (ANN), Deep Learning, PLS-SEM",None,True,True,,2025-10-15T14:33:24.769158
174,(Re-)connecting with Nature in Urban Life: Engaging with Wildlife via AI-powered Wearables,J,True,N,"The AI performs bird sound recognition and species identification for end-users, not design support. This is about designing an AI-powered wearable product, not using AI to directly support design tasks.",None,None,True,True,,2025-10-15T14:33:59.673637
175,Society sync - Digitalize society management systems with artificial intelligence technologies,J,True,N,"AI (OCR, face recognition, big data analysis) is used for society management functions and analyzing user reactions, but does NOT directly generate, create, or optimize design outputs. The design support is indirect (analytics-based insights) rather than direct design task performance.","OCR, Face Recognition",None,False,True,,2025-10-15T14:34:38.236770
176,User Feedback Design in AI-Driven Mood Tracker Mobile Apps,J,True,N,"No specific AI/ML method mentioned (only generic 'AI-driven' terms). Additionally, this paper is about human designers creating feedback interfaces FOR AI apps, not AI directly performing design tasks.",None,None,True,True,,2025-10-15T14:35:16.274997
177,Boundary-Aware Supervoxel-Level Iteratively Refined Interactive 3D Image Segmentation With Multi-Agent Reinforcement Learning,J,True,N,"AI performs medical image segmentation for diagnosis and analysis, which is an image processing task, not a design task. The AI does not create, generate, or optimize any design outputs.",Multi-Agent Reinforcement Learning,None,True,True,,2025-10-15T14:35:48.784693
178,AI driven human-computer interaction design framework of virtual environment based on comprehensive semantic data analysis with feature extraction,J,True,N,"No specific AI/ML method explicitly mentioned (only generic 'AI', 'data analysis', 'feature extraction'). Paper appears to focus on designing a VR interaction framework rather than AI directly supporting design task creation.",None,None,False,True,,2025-10-15T14:36:24.926709
179,Conversations in the Cloud: Crafting Harmony in AliCloud Computing Interaction Design,J,True,N,"No specific AI/ML method is explicitly mentioned (only generic 'artificial intelligence technology'). Additionally, AI appears to be a component of the conversational interface being designed rather than a tool that directly performs design tasks.",None,None,False,True,,2025-10-15T14:37:05.986499
180,Vehicle Multi-sensory User Interaction Design Research Based on MINDS Methods,J,True,N,"The paper uses the MINDS design methodology to create vehicle interaction systems that incorporate AI features (speech/gesture recognition). The AI is the technology being designed into the vehicle, not a tool that directly supports or automates the design process itself.",None,None,False,True,,2025-10-15T14:37:44.931818
181,GANSpiration: Balancing Targeted and Serendipitous Inspiration in User Interface Design with Style-Based Generative Adversarial Network,J,True,Y,"The AI (Style-Based GAN) directly supports UI design tasks by generating and suggesting design examples for designer inspiration, which practitioners use for overall design concepts and specific design elements.",Style-Based Generative Adversarial Network (GAN),UI design example generation and suggestion for designer inspiration,True,True,,2025-10-15T14:38:23.281575
182,Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive Text/Voice Artificial Intelligence (AI) Agent,J,True,Y,"The AI directly supports design tasks by providing real-time suggestions during collaborative ideation and engineering design problem-solving, actively participating in the design generation process through disruptive interjections.",Convolutional Neural Networks (CNN),Real-time design ideation support and collaborative problem-solving during engineering design,True,True,,2025-10-15T14:38:56.207640
183,Machine Learning Based User Interface Generation,J,True,Y,"The AI directly supports design tasks by automatically converting hand-drawn UI sketches and mockups into functional HTML code using CNNs, automating the design-to-development process.",Convolutional Neural Networks (CNN),UI code generation from sketches/mockups,False,True,,2025-10-15T14:39:33.638151
184,Interaction Design With Multi-Objective Bayesian Optimization,J,True,Y,"AI directly supports interaction design by intelligently proposing and optimizing design configurations for a smartwatch tactile display, actively partnering with designers in design space exploration.",Multi-objective Bayesian optimization,Interaction design - tactile display configuration optimization for smartwatches,True,True,,2025-10-15T14:40:08.332630
185,A Checklist for the Usability Evaluation of Artificial Intelligence (AI) mHealth Applications Graphical User Interface,J,True,N,"This paper develops a usability evaluation checklist FOR AI mHealth app interfaces. The AI (chatbots) is the subject being evaluated, not a tool that directly supports design tasks. No specific AI/ML method mentioned.",None,None,True,True,,2025-10-15T14:40:42.468259
186,User emotion recognition and indoor space interaction design: a CNN model optimized by multimodal weighted networks,J,True,N,"The AI performs emotion recognition (analysis task) to provide insights for design decisions, but does not directly generate, optimize, or create interior design outputs. This is indirect support through data analysis.",CNN (Convolutional Neural Network),None,True,True,,2025-10-15T14:41:22.968568
187,AN EEG-BASED EMOTION RECOGNITION MODEL USING AN INTERACTION DESIGN FRAMEWORK AND DEEP LEARNING,J,True,N,"AI performs emotion recognition from EEG data, not direct design tasks. While it mentions 'interaction design framework', this refers to the system's architecture, not AI generating or optimizing design outputs.","GAN (Generative Adversarial Network), self-attention mechanism, residual neural networks",None,True,True,,2025-10-15T14:41:58.351035
189,The Application of Deep Learning for the Evaluation of User Interfaces,J,True,N,"The AI only evaluates and ranks existing UI designs created by humans, providing assessment insights. It does not directly create, generate, optimize, or assist in producing design outputs.",CNN (Convolutional Neural Network),None,True,True,,2025-10-15T14:42:31.894397
