Index,Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Phase,Design Practice/Task,Notes,Questions
182,182_Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive TextVoice Artificial Intelligence (AI) Agent,,,,,"design-focused dataset obtained from transcripts of experts engaged in engineering design problem solving (unavailable publicly). Based on the results from these models, we propose the necessary improvements on models and training datasets that must be resolved in order to achieve usable and reliable collaborative text/voice systems that fall in this class of AI systems.",We trained a language model comprising between 1 to 3 Long Short Term Memory (LSTM) layers (with ∼123K parameters) shown in 32 below using Ubuntu community tech support chat data. We then implemented a sentence generator trained on a transcript of design sessions involving practicing engineering designers working on a defined task.,"We set out to develop a phrase/sentence generator trained on Ubuntu community support dataset (opensource), which yielded poor results. We then implemented a sentence generator trained on a transcript of design sessions involving practicing engineering designers working on a defined task.",We applied the LSTM [5] hidden layers in the machine learning model because of their ability to deal with long time-dependencies.,"observe what a human is doing, then interject with suggestions that aid in ideageneration or problem solving in a human-AI (H-AI) team; something that goes beyond current creativity support systems by replacing a human-human (H-H) team with a H-AI one. The proposed DI is distinct from tutors, chatbots, recommenders and other similar systems since they seek to diverge from a solution (rather than converge towards one) by encouraging consideration of other possibilities.","we demonstrate a way to develop a class of AI systems, the Disruptive Interjector (DI), which observe what a human is doing, then interject with suggestions that aid in ideageneration or problem solving in a human-AI (H-AI) team","Our work extends beyond this concept of keywords by replacing a human collaborator with an AI that disruptively interjects with phrases or sentences to the human, which is closer to how humans talk to each other during collaborative idea generation.",Analyzed by PDF Analyzer on 2025-10-22,
130,130_Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,,,,,"This work constitutes a preliminary study to evaluate the possible ways in which product designers and other practitioners may make use of these generative technologies to empower their shape exploring creative processes in conceptual design stages. This work contributes to the field of Computer Aided Conceptual Design by providing a comprehensive comparison of technical workflows between Shape Grammars as a generative paradigm for creativity and Text-to-Image generative models. Shape Grammars have been commonly used in computer-aided design (CAD), architecture, and urban planning to create designs and layouts following a set of predefined rules, but also in product design.","The authors examine Buick front view geometries for 13 thematic eras ranging from 1939 to 2002 plus concept designs, and then extract the Buick grammar from them. This comprehensive grammar is validated reproducing existing Buick models, and then used as a creative exploratory tool to generate new designs.","Text-to-Image AI models (algorithms able to generate high quality images from text inputs), now enabling a radical change and probably introducing a new paradigm which will affect all creative disciplines, including product design.","This preliminary research presents a comparative study between Text-to-Image AI models and Shape Grammars, one of the main generative approaches to Computer Aided Conceptual Design. The introduction of Denoising Diffusion Probabilistic Models (Ho et al., 2020; Sohl-Dickstein et al., 2015), or simply diffusion models, was another crucial step in the development of image generation AI models. Diffusion models became very popular by 2022, when some of the most used AI models were made public. DALL-E2, Imagen, Midjourney, and Stable Diffusion.","The goal is to determine to which extent AI models can reproduce or complement the performance of grammar algorithms as creative support tools for shape exploration in conceptual product design. This work constitutes a preliminary study to evaluate the possible ways in which product designers and other practitioners may make use of these generative technologies to empower their shape exploring creative processes in conceptual design stages. The application of a shape grammar requires using the inferred grammar rules to produce new concepts, by means of an iterative process.","The goal is to determine to which extent AI models can reproduce or complement the performance of grammar algorithms as creative support tools for shape exploration in conceptual product design. Workflows, advantages and limitations are identified through a comprehensive practical comparison example.","This preliminary research presents a comparative study between Text-to-Image AI models and Shape Grammars, one of the main generative approaches to Computer Aided Conceptual Design. The goal is to determine to which extent AI models can reproduce or complement the performance of grammar algorithms as creative support tools for shape exploration in conceptual product design.",Analyzed by PDF Analyzer on 2025-10-22,
86,86_Ecological Design with the Use of Selected Inventive Methods including AI-Based,,,,,"This article presents research results on the use of inventive methods to develop an eco-friendly product. A household appliance was selected as the object of research. The research was conducted on a household appliance—a refrigerator. The manufacturing of household appliances, which are categorized as electrical and electronic equipment, is one of the pillars of the European economy and is undergoing continuous development.","Fifty-four neurons were placed in the input layer, each of which was responsible for answering one question (one numerical parameter) from Table 6. The environmental quality assessment (EQA) is the arithmetic mean of answers to the questions shown in Table 6. Results of an environmental analysis of the product justify the actions taken to design an environmentally friendly product.","Questionnaires had been developed to collect the ideas. At stage one, participants in the creativity session gave answers to the biased questions based on the reverse brainstorming and stimulating methods. The environmental quality assessment (EQA) is the arithmetic mean of answers to the questions shown in Table 6 (always one answer only).","The study used a three-layer forward neural network (Figure 4), a back propagation (BP) algorithm as a popular gradient-based local search optimization technique, a Perceptron Linkage Optimization set for minimal multi-layer diagnostics focused on setting the mean squared error (MSE), and naive initialization techniques. An MLP-type network (multi-layer perceptron) performs a mapping of an n-dimensional input vector to an m-dimensional output signal, typically using a single hidden layer with up to 3n neurons.","An ecological analysis of the designed product, including AI-based (artificial neural networks), was carried out, which showed the legitimacy of the actions taken to develop an environmentally friendly product. The proposed ANN was able to quickly estimate and identify a solution to the problem of selecting/optimising the product parameters as a basic or competitive solution to a traditional IT program. To solve the overall problem, we used a single artificial neural network in which the input to the network was questions and answers (56, 57, stages: PRE-MANUFACTURING, MANUFACTURING, POST-MANUFACTURING) and the output was the class in Table 5 (EQA).","In the study, the product was not manufactured, but only designed and the technological processes planned. The mini refrigerator has the shape of a cuboid with the dimensions of 60×40×35 cm. The design incorporated one generator and two thermostats for multiple temperature zones. A product design was developed that is highly recyclable and environmentally friendly. An ecological analysis of the designed product, including AI-based (artificial neural networks), was carried out.","Detaileddesign - Selectmaterialstakingintoconsiderationenvironmentalaspects. - Analyzetheproductlifecycle. - Designtheproduct,takingintoconsiderationtheassembly anddisassembly. The designed product is highly recyclable and environmentally friendly. An ecological analysis of the designed product, including AI-based (artificial neural networks), was carried out.",Analyzed by PDF Analyzer on 2025-10-22,
104,104_Topology Optimization of Industrial Equipment A Deep Learning Approach and Software Implement,,,,,"Equipment product design is a crucial task in modern engineering, its performance and effectiveness directly affect the quality, efficiency and safety of industrial production. However, traditional equipment product design methods are often limited by experience and trial-and-error, suffer from time-consuming, resource-wasting and high-cost problems","Equipment product design is a crucial task in modern engineering, its performance and effectiveness directly affect the quality, efficiency and safety of industrial production. Topology-optimization design aims to improve the structural strength, reduce the weight, and optimize the overall performance and reliability of a product by optimizing the material distribution and structural form.","U_1, U_2, vol are merged into a three-channel image data of size [number of row nodes, number of column nodes, 3, number of samples]. The output of the deep learning model provides the optimized structure layout under the given conditions in the form of a relative density matrix, with dimensions of 32×64","the mapping relationship between the initial displacement field and the topology is established based on convolutional neural network. The results show that the developed topology optimization software can directly give the corresponding topology structure according to the structural parameters and optimization parameters set by the user, and the established deep learning model can output the most available topology structure according to the initial displacement field of the structure.","the established deep learning model can output the most available topology structure according to the initial displacement field of the structure. once the neural network has been trained, it can be used to quickly and accurately predict the topology under various operating conditions.","Therefore, in this paper, based on the SIMP method of flexibility minimization, topology optimization software for industrial equipment is first developed using PyQt. Then, samples with different boundary conditions are generated using the developed topology optimization software. Finally, the mapping relationship between the initial displacement field and the topology is established based on convolutional neural network.","Topology-optimization design aims to improve the structural strength, reduce the weight, and optimize the overall performance and reliability of a product by optimizing the material distribution and structural form, using numerical computation and optimization algorithms. In equipment product design, topology-optimization design has great potential to help designers and engineers overcome many challenges faced by traditional design methods.",Analyzed by PDF Analyzer on 2025-10-22,
132,132_Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,,,,,"Product design affects the difficulty of repair [6] and influences the steps of disassembling [7], and the efficiency of the entire waste management process [8]. Besides designers, repair shops and remanufacturers also require tools to help them sort recoverable devices and deal with a wide range of end-of-use (EoU) products received in their plants. Designers have started incorporating design-for-X strategies such as design for disassembly and repair into consideration when evaluating design alternatives.","The first approach is a supervised learning framework that utilizes object detection on product teardown images to measure repairability. Transfer learning is employed with machine learning architectures such as ConvNeXt, GoogLeNet, ResNet50, and VGG16 to evaluate repairability scores. The second approach is an unsupervised learning framework that combines feature extraction and cluster learning to identify product design features and group devices with similar designs.","To show the application of the proposed supervised learning framework, 945 teardown images of smartphones and their corresponding repairability scores have been collected from the iFixit website. In this study, a total of 66 X-ray images were collected from the iFixit website.","The first approach is a supervised learning framework that utilizes object detection on product teardown images to measure repairability. Transfer learning is employed with machine learning architectures such as ConvNeXt, GoogLeNet, ResNet50, and VGG16 to evaluate repairability scores.","The proposed automatic repairability system consists of a deep learning model (e.g., ConvNeXt, GoogLeNet, ResNet50, and VGG16) that gets the product teardown image as input and determines the repairability score. The proposed AI frameworks trained by experts and teardown images can be employed to evaluate the device condition and finally the decision on whether to repair or not.","this study introduces two artificial intelligence (AI) based approaches. The first approach is a supervised learning framework that utilizes object detection on product teardown images to measure repairability. Transfer learning is employed with machine learning architectures such as ConvNeXt, GoogLeNet, ResNet50, and VGG16 to evaluate repairability scores. The second approach is an unsupervised learning framework that combines feature extraction and cluster learning to identify product design features and group devices with similar designs.","Designers have started incorporating design-for-X strategies such as design for disassembly and repair into consideration when evaluating design alternatives. Product design affects the difficulty of repair [6] and influences the steps of disassembling [7], and the efficiency of the entire waste management process [8].",Analyzed by PDF Analyzer on 2025-10-22,
128,128_Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),,,,,"This paper evaluates the usefulness of combining LDA for topic modeling, Gradient Boost trees (GBT) for ML, and SHapley Additive exPlanations (SHAP) to develop an interpretable model for face mask attribute impact on online ratings. It aids in understanding product attributes influencing satisfaction for product design and improvement, especially in the dynamic context of face mask preferences and purchasing decisions.","Today, there is a general consensus that online reviews contain valuable information about customers' evaluation of the attributes of products, services, and experiences, which can be used to assess customers' requirements, needs, preferences, product defects, and important attributes","To identify customers´ perceptions of the features of the ffp2 and kn95 masks and their relevance to the general rating, online reviews were manually captured from Amazon webpages (Amazon.com, Inc., Seattle, Washington, United States). Only comments written in Spanish were collected. A total of 2,047 reviews were collected, from which, after text mining, 97 words with a frequency over 1.5% and under 30% were stored for further analysis.",LDA is a machine-learning-generative statistical model that outputs a vector representation of the probability of words in a topic. The relevance of the identified topics in the stars ranking was assessed using a GBT model. The analysis was performed via Python software (Python Software Foundation) using the Gradient Boosting Classifier from scikit learn,"The relevance of the identified topics in the stars ranking was assessed using a GBT model. For this purpose, each rating was categorized as follows: 1 for scores higher than 3 stars (4 or 5) and 0 for the rest... LDA analysis was applied to identify latent topics... SHAP package. This is model-agnostic and uses the Shapley values from game theory to estimate how each feature contributes to the prediction... the present study aimed to apply Explainable Artificial Intelligence (SHAP) to identify attributes and features of face masks from online customer reviews and their relevance to purchase decision-making to guide product improvement... Accordingly, the innovation agenda for this product should focus on the following: avoiding customer confusion about mask type (ffp2 or kn95), brand, and origin (Topic 2); compliance with standards and/or EC labeling (Topic 4)","Identification of user needs, preferences, and requirements could be helpful in this regard. Therefore, the present study aimed to apply Explainable Artificial Intelligence (SHAP) to identify attributes and features of face masks from online customer reviews and their relevance to purchase decision-making to guide product improvement. online reviews contain valuable information about customers' evaluation of the attributes of products, services, and experiences, which can be used to assess customers' requirements, needs, preferences, product defects, and important attributes","Identification of user needs, preferences, and requirements could be helpful in this regard. Today, there is a general consensus that online reviews contain valuable information about customers' evaluation of the attributes of products, services, and experiences, which can be used to assess customers' requirements, needs, preferences, product defects, and important attributes. Therefore, the present study aimed to apply Explainable Artificial Intelligence (SHAP) to identify attributes and features of face masks from online customer reviews and their relevance to purchase decision-making to guide product improvement.",Analyzed by PDF Analyzer on 2025-10-22,
111,111_An approach to user knowledge acquisition in product design,,,,,"This paper presents an approach to user knowledge acquisition in the product design process, which obtains the tangible requirements of users under the premise that users are adequate for participation. The washing machine design project is used as a case study to explain the implementation of the proposed approach.",The function numbers corresponding to the solutions in Tables 2 are shown in T 3. F1 Sterilization F8 Washing shirts F2 Drying F9 Auto-adding laundry detergent F3 Anti-deformation F10 Auto-adding softener F4 Auto-classification F11 Water-saving F5 Dry cleaning F12 Remote control F6 Wall mounting type F13 Appointment F7 Variable capability,"natural language processing technology is used to transform text form solutions into data, so that computer technology can be applied to manage large-scale user requirements. Users often don't have the expertise for design. Therefore, they usually submit product solutions in text form. The text form solutions submitted by the user typically contain multiple information, and they are always unstructured.",Machine learning is a quick way to respond to the needs of users. Machine learning approach [23] is applied for product ecosystems by examining a large amount of online user-generated product reviews. Hybrid machine learning algorithm [24] is applied for the design feature recommendation during the conceptual design phase.,"In the knowledge discovery stage, after less concerned partial solutions are removed and vacant items are predicted to be supplemented, the final collection of user design information is obtained. Finally, based on rough set theory, design knowledge can be extracted to support the decision of the product model. In the submission stage, natural language processing technology is used to transform text form solutions into data, so that computer technology can be applied to manage large-scale user requirements.","Requirement elicitation is a critical process for product design. In the process, user requirements can be extracted by massive user-generated data. The focus of this paper is to develop a suitable user knowledge acquisition approach for collaborative design. This approach not only allows a large number of users to participate in the product design process under a friendly experience but also provides a quick understanding of the user's real needs.","To map user requirements to the product model, user requirements are generally extracted into knowledge that can be used for design decisions. This paper presents an approach to user knowledge acquisition in the product design process, which obtains the tangible requirements of users under the premise that users are adequate for participation.",Analyzed by PDF Analyzer on 2025-10-22,
149,149_The form of AI-driven luxury how generative AI (GAI) and Large Language Models (LLMs) are transforming the creative process,,,,,"This paper aims to provide a comprehensive understanding of the extent to which generative AI (GAI) tools and Large Language Models (LLMs) can design new creative and meaningful products in the luxury industry. To this end, the research involves three qualitative studies to understand the cognitive and emotional response towards the creative outcome.","Results reveal that consumers perceived that the GAI-designed luxury products reflect and reinforce the essence and symbolic values of the brands, and that their perception is influenced by knowledge of GAI authorship of the product. Through an exploratory design, we investigate consumers' response towards luxury bags designed by AI, and we compare and contrast this response when consumers are informed of GAI authorship.","There is a vast number of LLMs that create vivid and visually rich, highly appealing, and memorable images from written texts (prompts) that align with the users' imaginary. We chose Midjourney due to its availability to associate the written prompt and the image of the original bag. The prompts consist of the command '/image' and the following request to start from the specific bag of a certain brand to design new ones.","Large Language Models (LLMs) represent a new type of (machine learning) algorithms able to augment, imitate, and even replace human capabilities (Hermann & Puntoni, 2024). To do so, they receive a set of instructions (prompts) to complete cognitive tasks similar to the ones completed by humans (Hermann & Puntoni, 2024). For instance, LLMs applications include the usage of statistical models to analyse large amounts of data, identify the patterns within the data, create connections within the data, and generate solutions accordingly","This paper aims to provide a comprehensive understanding of the extent to which generative AI (GAI) tools and Large Language Models (LLMs) can design new creative and meaningful products in the luxury industry. To this end, the research involves three qualitative studies to understand the cognitive and emotional response towards the creative outcome. We developed the prompts to make GAI generate new bags.","This paper aims to provide a comprehensive understanding of the extent to which generative AI (GAI) tools and Large Language Models (LLMs) can design new creative and meaningful products in the luxury industry. To this end, the research involves three qualitative studies to understand the cognitive and emotional response towards the creative outcome. A total of 100 images were generated. we investigate consumers' response towards luxury bags designed by AI, and we compare and contrast this response when consumers are informed of GAI authorship","Creativity is essential in marketing areas such as product design/development, advertising, and marketing strategy. We want to investigate how GAI employing LLMs is able to create tangible symbols of luxury (in the form of bags). Subsequently, we developed the prompts to make GAI generate new bags. We chose Midjourney due to its availability to associate the written prompt and the image of the original bag.",Analyzed by PDF Analyzer on 2025-10-22,
88,88_Weighted unsupervised domain adaptation considering geometry features and engineering performance of 3D design data,,,,,"The product design process in manufacturing involves iterative design modeling and analysis to achieve the target engineering performance, but such an iterative process is time consuming and computationally expensive. At the conceptual design stage of industrial product development, engineering performance analysis and design modifications are performed iteratively until the design meets the target engineering performance.","The product design process in manufacturing involves iterative design modeling and analysis to achieve the target engineering performance, but such an iterative process is time consuming and computationally expensive. At the conceptual design stage of industrial product development, engineering performance analysis and design modifications are performed iteratively until the design meets the target engineering performance.","For the input data, the 3D wheel dataset consists of five types of rim cross sections... A total of 2,015 3D wheel spoke CAD were collected and converted into a 64×64×64 voxel. Each input X contains 3D voxel X_voxel and impact barrier mass X_mass","Feature extractor network θ is based on a 3D convolutional neural network and extracts domain-invariant features of the 3D wheel voxel input. It consists of five 3D convolutional layers, two max-pooling layers, batch normalization layers, leaky rectified linear units (leaky ReLU) for the activation function, and a fully connected layer at the end to extract the latent features (Z) of 30 dimensions.","The ultimate goal of this method is to minimize the target risk of the multi-output regression problem to replace the FEA for the wheel impact test. The proposed model is a multi-output regression model that predicts the magnitude of the maximum von Mises stress and the corresponding location (x, y, and z coordinates) given a 3D wheel voxel and the impact barrier mass as inputs.","At the conceptual design stage of industrial product development, engineering performance analysis and design modifications are performed iteratively until the design meets the target engineering performance. Deep learning-based engineering performance prediction models are necessary for industrial applications because they can be used at the early stages of product development to examine various design alternatives in real time.","At the conceptual design stage of industrial product development, engineering performance analysis and design modifications are performed iteratively until the design meets the target engineering performance. Deep learning-based engineering performance prediction models are necessary for industrial applications because they can be used at the early stages of product development to examine various design alternatives in real time.",Analyzed by PDF Analyzer on 2025-10-22,
170,170_APPLICATION OF AR VIRTUAL IMPLANTATION TECHNOLOGY BASED ON DEEP LEARNING AND EMOTIONAL TECHNOLOGY IN THE CREATION OF INTERACTIVE PICTURE BOOKS,,,,,product emotional design based on deep learning can integrate users' emotional needs into the actual product design. The literature [18-19] focuses on the user interface design and interaction design of AR books.,"Starting from the international award-winning works of high quality and reflecting contemporary design trends, and guided by design emotion theory, we selected product design images with more obvious design emotion characteristics and established a preliminary design gallery with 2048 images covering common product categories.","AR interactive picture book is a comprehensive picture, voice, click an interactive multimedia product, combined with deep learning product emotional design can make the AR interactive picture book greatly enhance the expressive power, and interactive effect significantly improved.","In this paper, based on the three-level theoretical model of emotion, the emotion labeling results are input to a deep neural network for learning, to establish an emotion-based recognition model for picture book images. Based on the 2.2.3 VGGNet deep learning network, 1500 of the above 2048 images were used for model training, and the remaining images were used for testing.","to establish an emotion-based recognition model for picture book images. The results show that the model can well analyze the emotion of images in AR picture books, and the accuracy of prediction is a big improvement compared with traditional machine recognition algorithms.","In this paper, based on the three-level theoretical model of emotion, the emotion labeling results are input to a deep neural network for learning, to establish an emotion-based recognition model for picture book images. Finally, we establish an AR interactive picture book image sentiment analysis platform through deep learning training in an image sample library. Based on the 2.2.3 VGGNet deep learning network, 1500 of the above 2048 images were used for model training, and the remaining images were used for testing.","In this paper, we aim to use deep learning and affective technology in the creation of AR interactive picture books to transform the reading process from static to dynamic, enrich visual stimulation, and increase the fun and interactivity of reading. The creation of AR interactive picture books with such new technology, can bring children an emotionally pleasant experience when reading and subtly educate them.",Analyzed by PDF Analyzer on 2025-10-22,
121,121_Deep learning-based efficient metamodeling via domain knowledge-integrated designable data augmentation with transfer learning application to vehicle crash safety,,,,,This study proposes a deep learning-based efficient metamodeling method called domain knowledge-integrated designable data augmentation (DDA) with transfer learning for engineering design. The proposed algorithm was applied to the design of a bumper considering vehicle crash safety.,"The design variables for the source and target are listed in Table 4. The number of design variables of the source is fourteen (i.e., x1 to x14). The crash responses are the force–displacement (F–D) responses of two types of bumpers (i.e., source and target) attached to the front of the vehicle.","The crash responses are the force–displacement (F–D) responses of two types of bumpers (i.e., source and target) attached to the front of the vehicle. The size of the F–D response data was [1056 × 2 × 1], representing the data height, width, and number of channels, respectively.","The DDA, based on a generative AI model, aims to generate virtual responses by using a small number of actual responses and to estimate the design variables that affect the generated virtual responses. In recent years, to solve these problems, data augmentation algorithms such as generative adversarial networks (GANs) and variational auto-encoders (VAEs), capable of generating virtual data similar to actual data, have been presented in many studies.","Virtual responses can be generated using a small number of actual responses to predict the performance of an engineering system and estimate the design variables that affect the generated virtual responses. Moreover, a rapid and accurate design can be achieved by applying transfer learning and domain knowledge-based learning to DDA.","These AI approaches can be effectively applied during the front-loading design stage. The proposed algorithm was applied to the design of a bumper considering vehicle crash safety. As a result, virtual responses that were approximately 95% similar to the actual responses were generated, and design solutions were derived.",optimal design solution that satisfies the system constraints can be derived using metamodel-based optimization. The engineering design using domain knowledge-integrated DDA with transfer learning consists of four steps. These AI approaches can be effectively applied during the front-loading design stage.,Analyzed by PDF Analyzer on 2025-10-22,
141,"141_Intelligent RFQ Summarization Using Natural Language Processing, Text Mining, and Machine Learning Techniques",,,,,The system helps improve the complex product design for manufacturers and improve the cost estimation and competitiveness of quotations in a highly competitive marketplace. The engineering of highly customized production processes and the RFQ is regarded as pre-contract cost planning and control between the manufacturer and the customer.,"Request for quotation (RFQ) is a lengthy document soliciting vendor products and services according to rigid specifications. The method automatically extracts essential specifications such as voltage, capacity, and impedance from RFQs using text analytics.","Over 1,300 power transformer RFQ requests are used to build a word-embedding model for training and testing. Domain keywords are extracted using N-gram TF-IDF. The method automatically extracts essential specifications such as voltage, capacity, and impedance from RFQs using text analytics.","These models are shallow, double-layer neural networks used to associate the semantic and linguistic context of words. Word2vec is a machine learning approach that generates word vectors from a training text dataset. The K-means algorithm groups the sentences of each specification. This research develops an integrated natural language processing (NLP), text mining, and machine learning approach for intelligent RFQ summarization.",The engineering document automatic summarization system helps the engineer shorten the time to obtain the key information of RFQs and reduce the risk of missing important information during manual reading. Machine learning assists engineers to reduce the probability of misjudgment and saves considerable reading time. The discovered customer common requirements based on cluster analysis helps the engineer to avoid missing essential requirements.,"This research develops an integrated natural language processing (NLP), text mining, and machine learning approach for intelligent RFQ summarization. Over 1,300 power transformer RFQ requests are used to build a word-embedding model for training and testing. The methodology is divided into three modules including key term extraction, summary generation, and key requirement verification.",The summarization system helps engineers shorten the time to identify all specifications and reduces the risk of missing important requirements during manual RFQ reading. The system helps improve the complex product design for manufacturers and improve the cost estimation and competitiveness of quotations in a highly competitive marketplace.,Analyzed by PDF Analyzer on 2025-10-22,
123,123_NOVEL METHODOLOGY FOR REAL-TIME STRUCTURAL ANALYSIS ASSISTANCE IN CUSTOM PRODUCT DESIGN,,,,,"The compiled FEA model is developed for the case of orthopedic device – internal fixator, used in subtrochanteric fractures of thigh bone (femur). This is the case of a highly customizable product which needs to be fitted to the different requirements arising from patient physical and physiological properties, some of many different types of fractures, etc. The fixator parametric model has been created by using SolidWorks CAD software.","Characteristic data instances dataset is a relatively large collection of product model parameter (lengths, widths, distances, material properties, etc.) values in the selected regions, associated with previously calculated mechanical quantities and properties (such as stresses and product mass).","Created dataset [22] is used as input to the typical ML pipeline. This dataset, with six parameters counts 89 rows. A small number of data instances were used in a case study for the practical reasons (single instance calculation of physical quantities and properties by ANSYS takes time) as well as because of strong representativeness of data generated by design-of-experiment feature, namely balanced distribution of parameters value over the given range.","Different ML algorithms will be tested to choose the one with the least Mean Absolute Error (MAE) - a key indicator for assessing the accuracy. Selected algorithms are linear regression, K-Nearest Neighbors, Support Vector Machine Regressor, Decision Tree and two ensemble methods, namely Random Forest and Gradient Boosting.","based on the above dataset, ML models can be developed for predicting physical quantities and properties of the custom product which was instantiated by selecting the appropriate design parameters with sufficient accuracy. The use of compiled FEA model during geometric parameter tuning facilitates real-time review of the critical nongeometric features and immediate assessment of the designed product physical quantities and properties.","The use of compiled FEA model during geometric parameter tuning facilitates real-time review of the critical nongeometric features and immediate assessment of the designed product physical quantities and properties. Upon the customer request, the designer needs to create this model's instance, so this instance meets all the given requirements. Instead of launching the FEA on the specific instance, the designer is assisted in a real-time by the software which is using the model we call the 'compiled' generic FEA model.","In any stage of the custom product design, the single design instance may be validated. Such validation can be relatively simple and quick (for example, inspection of the product visual properties by the customer) but sometimes, very troublesome and significant cost-incurring, such as testing of the product instance physical properties and its integrity in the exploitation conditions.",Analyzed by PDF Analyzer on 2025-10-22,
102,102_Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,,,,,"Recognizing and segmenting complex texture images such as materials is of great significance to industrial design and production. Discovering and designing new materials is very important for the development of the industry. Researching the relationship among material macro properties, microstructure and preparation processes is fundamental to developing the new materials.","Material images contain abundant microstructural information, recognizing material image microstructure is the first step of quantitative analysis. The carbon steel data sets are built by obtaining the UHCSDB (Ultra High Carbon Steel Micrograph Data Base), which represents several types of carbon steel. Fig. 6(c) is the ceramics images. Fig. 6(d) is the wood surface image data set.","Recognizing and segmenting complex texture images such as materials is of great significance to industrial design and production. Material images contain abundant microstructural information, recognizing material image microstructure is the first step of quantitative analysis. We evaluate our method on 4 different material data sets. Fig. 6(a) is carbon steel A images. Fig. 6(b) is the carbon steel B images; Fig. 6(c) is the ceramics images. Fig. 6(d) is the wood surface image data set.","we propose a method based on deep learning for recognizing and segmenting material images with complex textures. Firstly, the simple linear iterative cluster (SLIC) algorithm is used to obtain different numbers of superpixels which are a group of pixels with similar texture features. Then we extract the largest inscribed rectangular block in each superpixel. Next, put these rectangular blocks into the classical convolutional neural network (CNN)—DenseNet to recognize them.","The generated model after the training round is used to predict the category of rectangular blocks, which represents the pixel of the middle in each rectangular block. Recognizing material image microstructure is the first step of quantitative analysis. Material images contain abundant microstructural information, recognizing material image microstructure is the first step of quantitative analysis.","we propose a method based on deep learning for recognizing and segmenting material images with complex textures. Firstly, the simple linear iterative cluster (SLIC) algorithm is used to obtain different numbers of superpixels which are a group of pixels with similar texture features. Then we extract the largest inscribed rectangular block in each superpixel. Next, put these rectangular blocks into the classical convolutional neural network (CNN)—DenseNet to recognize them.","In this paper, we propose a method based on deep learning for recognizing and segmenting material images with complex textures. We propose a material image segmentation method based on the superpixel algorithm and deep learning. We make extensive comparative and ablation experiments to confirm the effectiveness of our method.",Analyzed by PDF Analyzer on 2025-10-22,
156,156_PIKAR A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design,,,,,"Kansei Engineering System has been proved useful in industrial design [6,7], packaging design [3,4], and even interior design [11]. This work addresses the possibility of applying deep learning to support product design and user experience researches. Kansei engineering has been developed as the translation technology between product design parameters and human perception and has maintained a significant role in the consumer-oriented product development paradigm.",The word 'Kansei' originates in Japan and refers to the customers' feelings and perception towards a product. Kansei engineering has been developed as the translation technology between product design parameters and human perception and has maintained a significant role in the consumer-oriented product development paradigm.,"Two neural nets trained on 1,414 images, labeled by eight participants based on their perception of kawaii (1–5 Likert Scale), have achieved a better prediction than test persons.","For all experiments, we use a modified AlexNet [19] as the base model for transfer learning: we start with weights pre-trained on a larger dataset to increase model accuracy. Contrary to element-level KES, our method is an end-to-end, pixel-level approach that recognizes product Kansei from raw pixel distribution without prior feature handcrafting or extraction.",KawaiiNet achieves an accuracy of 84% in identifying kawaii design of cosmetic packaging; and KawaiiScoreNet predicts the kawaii values with an accuracy of 90.6% within a 1-point tolerance and 69.3% within a 0.5-point tolerance. We propose a deep learning based Kansei analysis method: the neuron analysis methodology incorporating net visualization techniques to identify features affecting Kansei for future design improvement.,"This section introduces the construction of a pixel-level Kansei prediction system. Method validation is performed based on the evaluation of cosmetic packaging's kawaii. Two neural nets trained on 1,414 images, labeled by eight participants based on their perception of kawaii (1–5 Likert Scale), have achieved a better prediction than test persons. The implemented neuron analysis methodology for Kansei analysis points towards consistency with previous experimental kawaii studies.","we present a Pixel-level Image Kansei Analysis and Recognition (PIKAR) system that applies deep learning to extract and analyze the formation of human perception towards product designs automatically... We present a neuron analysis approach to identify features that cause the formation of Kansei and support future product design... The proposed technology has possible applications in customized product recommendation systems, design-supporting systems",Analyzed by PDF Analyzer on 2025-10-22,
